mean,CI2.5,CI97.5,sd,n_eff,rhat,trial,condition,repo,comorbidity,Var1,Var2
0.76,0.534,0.919,0.098,2615.05,1,LILLY_H6D_MC_LVHJ,Benign_Prostatic_Hyperplasia,Vivli,Arthritis : Cardiovascular,Arthritis,Cardiovascular
-0.11,-0.76,0.518,0.338,874.14,1.001,LILLY_H6D_MC_LVHJ,Benign_Prostatic_Hyperplasia,Vivli,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
-0.2,-0.728,0.386,0.296,1237.99,1,LILLY_H6D_MC_LVHJ,Benign_Prostatic_Hyperplasia,Vivli,Asthma : Cardiovascular,Asthma,Cardiovascular
0.15,-0.419,0.64,0.273,2922.54,0.999,LILLY_H6D_MC_LVHJ,Benign_Prostatic_Hyperplasia,Vivli,Anxiety : Cardiovascular,Anxiety,Cardiovascular
-0.01,-0.498,0.48,0.252,1584.54,1,LILLY_H6D_MC_LVHJ,Benign_Prostatic_Hyperplasia,Vivli,Arthritis : Pain,Arthritis,Pain
-0.1,-0.748,0.553,0.349,1250.27,1,LILLY_H6D_MC_LVHJ,Benign_Prostatic_Hyperplasia,Vivli,Acid-related disease : Pain,Acid-related disease,Pain
-0.12,-0.734,0.495,0.326,914.14,1.003,LILLY_H6D_MC_LVHJ,Benign_Prostatic_Hyperplasia,Vivli,Asthma : Pain,Asthma,Pain
-0.11,-0.732,0.564,0.35,1576.99,1.001,LILLY_H6D_MC_LVHJ,Benign_Prostatic_Hyperplasia,Vivli,Anxiety : Pain,Anxiety,Pain
-0.1,-0.734,0.544,0.339,1200.29,0.999,LILLY_H6D_MC_LVHJ,Benign_Prostatic_Hyperplasia,Vivli,Acid-related disease : Arthritis,Acid-related disease,Arthritis
-0.18,-0.75,0.413,0.313,1058.28,1.002,LILLY_H6D_MC_LVHJ,Benign_Prostatic_Hyperplasia,Vivli,Arthritis : Asthma,Arthritis,Asthma
0.42,-0.079,0.822,0.236,3620.34,0.999,LILLY_H6D_MC_LVHJ,Benign_Prostatic_Hyperplasia,Vivli,Anxiety : Arthritis,Anxiety,Arthritis
-0.02,-0.706,0.64,0.362,1018.17,1.002,LILLY_H6D_MC_LVHJ,Benign_Prostatic_Hyperplasia,Vivli,Acid-related disease : Asthma,Acid-related disease,Asthma
-0.04,-0.737,0.657,0.373,1606.39,1,LILLY_H6D_MC_LVHJ,Benign_Prostatic_Hyperplasia,Vivli,Acid-related disease : Anxiety,Acid-related disease,Anxiety
-0.06,-0.736,0.609,0.356,1721.06,1.003,LILLY_H6D_MC_LVHJ,Benign_Prostatic_Hyperplasia,Vivli,Anxiety : Asthma,Anxiety,Asthma
0.26,0.091,0.416,0.087,2370.93,1.001,LILLY_H6D_MC_LVHR,Benign_Prostatic_Hyperplasia,Vivli,Cardiovascular : Pain,Cardiovascular,Pain
0.38,0.235,0.513,0.072,1971.3,0.999,LILLY_H6D_MC_LVHR,Benign_Prostatic_Hyperplasia,Vivli,Arthritis : Cardiovascular,Arthritis,Cardiovascular
0.04,-0.133,0.21,0.087,1996.07,1,LILLY_H6D_MC_LVHR,Benign_Prostatic_Hyperplasia,Vivli,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
0.12,-0.071,0.301,0.094,2327.21,1,LILLY_H6D_MC_LVHR,Benign_Prostatic_Hyperplasia,Vivli,Asthma : Cardiovascular,Asthma,Cardiovascular
0.15,-0.044,0.34,0.095,1957.79,1,LILLY_H6D_MC_LVHR,Benign_Prostatic_Hyperplasia,Vivli,Anxiety : Cardiovascular,Anxiety,Cardiovascular
0.44,0.259,0.592,0.085,1786.76,1,LILLY_H6D_MC_LVHR,Benign_Prostatic_Hyperplasia,Vivli,Arthritis : Pain,Arthritis,Pain
0.24,0.005,0.449,0.114,1152.24,1.002,LILLY_H6D_MC_LVHR,Benign_Prostatic_Hyperplasia,Vivli,Acid-related disease : Pain,Acid-related disease,Pain
0.25,0.015,0.475,0.117,1094.39,1,LILLY_H6D_MC_LVHR,Benign_Prostatic_Hyperplasia,Vivli,Asthma : Pain,Asthma,Pain
0.35,0.11,0.551,0.11,1266.15,1.004,LILLY_H6D_MC_LVHR,Benign_Prostatic_Hyperplasia,Vivli,Anxiety : Pain,Anxiety,Pain
-0.24,-0.468,-0.01,0.118,845.6,1.004,LILLY_H6D_MC_LVHR,Benign_Prostatic_Hyperplasia,Vivli,Acid-related disease : Arthritis,Acid-related disease,Arthritis
0.15,-0.058,0.358,0.107,1330.3,1.001,LILLY_H6D_MC_LVHR,Benign_Prostatic_Hyperplasia,Vivli,Arthritis : Asthma,Arthritis,Asthma
0.29,0.087,0.487,0.105,1976.68,1,LILLY_H6D_MC_LVHR,Benign_Prostatic_Hyperplasia,Vivli,Anxiety : Arthritis,Anxiety,Arthritis
0.27,0.043,0.49,0.115,1449.95,1,LILLY_H6D_MC_LVHR,Benign_Prostatic_Hyperplasia,Vivli,Acid-related disease : Asthma,Acid-related disease,Asthma
0.42,0.2,0.61,0.107,1427.48,1.001,LILLY_H6D_MC_LVHR,Benign_Prostatic_Hyperplasia,Vivli,Acid-related disease : Anxiety,Acid-related disease,Anxiety
0.34,0.111,0.552,0.115,1820.55,1,LILLY_H6D_MC_LVHR,Benign_Prostatic_Hyperplasia,Vivli,Anxiety : Asthma,Anxiety,Asthma
-0.17,-0.399,0.075,0.121,1567.67,1.004,LILLY_H6D_MC_LVHS,Benign_Prostatic_Hyperplasia,Vivli,Cardiovascular : Pain,Cardiovascular,Pain
0.01,-0.219,0.233,0.113,964.72,1.005,LILLY_H6D_MC_LVHS,Benign_Prostatic_Hyperplasia,Vivli,Arthritis : Cardiovascular,Arthritis,Cardiovascular
0.09,-0.169,0.342,0.13,950.73,1.006,LILLY_H6D_MC_LVHS,Benign_Prostatic_Hyperplasia,Vivli,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
-0.25,-0.468,-0.022,0.117,1442.66,1.002,LILLY_H6D_MC_LVHS,Benign_Prostatic_Hyperplasia,Vivli,Asthma : Cardiovascular,Asthma,Cardiovascular
-0.02,-0.267,0.248,0.133,1257.05,1,LILLY_H6D_MC_LVHS,Benign_Prostatic_Hyperplasia,Vivli,Anxiety : Cardiovascular,Anxiety,Cardiovascular
0.32,0.117,0.509,0.101,1312.91,1.002,LILLY_H6D_MC_LVHS,Benign_Prostatic_Hyperplasia,Vivli,Arthritis : Pain,Arthritis,Pain
0.1,-0.151,0.343,0.125,1138.64,1.004,LILLY_H6D_MC_LVHS,Benign_Prostatic_Hyperplasia,Vivli,Acid-related disease : Pain,Acid-related disease,Pain
0.28,0.027,0.501,0.121,1282.26,1,LILLY_H6D_MC_LVHS,Benign_Prostatic_Hyperplasia,Vivli,Asthma : Pain,Asthma,Pain
0.13,-0.115,0.373,0.123,1462.33,1,LILLY_H6D_MC_LVHS,Benign_Prostatic_Hyperplasia,Vivli,Anxiety : Pain,Anxiety,Pain
-0.54,-0.726,-0.33,0.103,1019.46,1.006,LILLY_H6D_MC_LVHS,Benign_Prostatic_Hyperplasia,Vivli,Acid-related disease : Arthritis,Acid-related disease,Arthritis
0.1,-0.138,0.332,0.118,1717.31,1.003,LILLY_H6D_MC_LVHS,Benign_Prostatic_Hyperplasia,Vivli,Arthritis : Asthma,Arthritis,Asthma
0.23,0.018,0.432,0.107,1513.88,1.001,LILLY_H6D_MC_LVHS,Benign_Prostatic_Hyperplasia,Vivli,Anxiety : Arthritis,Anxiety,Arthritis
0.08,-0.159,0.32,0.123,1510.95,1.001,LILLY_H6D_MC_LVHS,Benign_Prostatic_Hyperplasia,Vivli,Acid-related disease : Asthma,Acid-related disease,Asthma
0.04,-0.22,0.285,0.131,1317.81,1.003,LILLY_H6D_MC_LVHS,Benign_Prostatic_Hyperplasia,Vivli,Acid-related disease : Anxiety,Acid-related disease,Anxiety
0.36,0.12,0.58,0.118,1754.89,1.001,LILLY_H6D_MC_LVHS,Benign_Prostatic_Hyperplasia,Vivli,Anxiety : Asthma,Anxiety,Asthma
0.2,-0.077,0.469,0.14,2031.89,1,LILLY_H6D_MC_LVID,Benign_Prostatic_Hyperplasia,Vivli,Cardiovascular : Pain,Cardiovascular,Pain
0.05,-0.177,0.272,0.117,2596.49,1,LILLY_H6D_MC_LVID,Benign_Prostatic_Hyperplasia,Vivli,Arthritis : Cardiovascular,Arthritis,Cardiovascular
0.24,0.027,0.437,0.105,2256.96,1,LILLY_H6D_MC_LVID,Benign_Prostatic_Hyperplasia,Vivli,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
0.34,0.11,0.56,0.116,2783.54,1,LILLY_H6D_MC_LVID,Benign_Prostatic_Hyperplasia,Vivli,Asthma : Cardiovascular,Asthma,Cardiovascular
0.01,-0.316,0.355,0.174,2051.89,1,LILLY_H6D_MC_LVID,Benign_Prostatic_Hyperplasia,Vivli,Anxiety : Cardiovascular,Anxiety,Cardiovascular
0.48,0.177,0.728,0.141,1509.6,1.002,LILLY_H6D_MC_LVID,Benign_Prostatic_Hyperplasia,Vivli,Arthritis : Pain,Arthritis,Pain
-0.01,-0.402,0.403,0.21,593.09,1.001,LILLY_H6D_MC_LVID,Benign_Prostatic_Hyperplasia,Vivli,Acid-related disease : Pain,Acid-related disease,Pain
0.4,0.082,0.68,0.157,1194.86,1,LILLY_H6D_MC_LVID,Benign_Prostatic_Hyperplasia,Vivli,Asthma : Pain,Asthma,Pain
-0.13,-0.687,0.437,0.296,591.48,1.003,LILLY_H6D_MC_LVID,Benign_Prostatic_Hyperplasia,Vivli,Anxiety : Pain,Anxiety,Pain
-0.34,-0.797,0.139,0.241,289.92,1.008,LILLY_H6D_MC_LVID,Benign_Prostatic_Hyperplasia,Vivli,Acid-related disease : Arthritis,Acid-related disease,Arthritis
0.16,-0.17,0.476,0.169,1157.61,1.006,LILLY_H6D_MC_LVID,Benign_Prostatic_Hyperplasia,Vivli,Arthritis : Asthma,Arthritis,Asthma
0.17,-0.261,0.56,0.213,1560.64,1.002,LILLY_H6D_MC_LVID,Benign_Prostatic_Hyperplasia,Vivli,Anxiety : Arthritis,Anxiety,Arthritis
0.15,-0.169,0.459,0.16,1480.19,1.001,LILLY_H6D_MC_LVID,Benign_Prostatic_Hyperplasia,Vivli,Acid-related disease : Asthma,Acid-related disease,Asthma
0.12,-0.306,0.517,0.21,1650.6,1,LILLY_H6D_MC_LVID,Benign_Prostatic_Hyperplasia,Vivli,Acid-related disease : Anxiety,Acid-related disease,Anxiety
-0.19,-0.773,0.407,0.315,871.82,1.006,LILLY_H6D_MC_LVID,Benign_Prostatic_Hyperplasia,Vivli,Anxiety : Asthma,Anxiety,Asthma
0.09,-0.023,0.211,0.06,3021.55,1,LILLY_H9X_MC_GBCF,Diabetes_Mellitus_Type_2,Vivli,Cardiovascular : Pain,Cardiovascular,Pain
0.35,0.246,0.454,0.053,2564.26,1,LILLY_H9X_MC_GBCF,Diabetes_Mellitus_Type_2,Vivli,Arthritis : Cardiovascular,Arthritis,Cardiovascular
0.06,-0.065,0.174,0.061,1777.23,1,LILLY_H9X_MC_GBCF,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
0.09,-0.04,0.209,0.064,1989.43,1.002,LILLY_H9X_MC_GBCF,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Cardiovascular,Anxiety,Cardiovascular
0.25,0.098,0.407,0.079,2588.47,1,LILLY_H9X_MC_GBCF,Diabetes_Mellitus_Type_2,Vivli,Asthma : Cardiovascular,Asthma,Cardiovascular
0.57,0.472,0.656,0.047,2151.38,1,LILLY_H9X_MC_GBCF,Diabetes_Mellitus_Type_2,Vivli,Arthritis : Pain,Arthritis,Pain
-0.09,-0.236,0.064,0.076,1052.83,1.005,LILLY_H9X_MC_GBCF,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Pain,Acid-related disease,Pain
0.33,0.195,0.446,0.064,1770.76,1.001,LILLY_H9X_MC_GBCF,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Pain,Anxiety,Pain
0.31,0.156,0.455,0.078,2245.62,1,LILLY_H9X_MC_GBCF,Diabetes_Mellitus_Type_2,Vivli,Asthma : Pain,Asthma,Pain
-0.6,-0.723,-0.459,0.067,240.02,1.017,LILLY_H9X_MC_GBCF,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Arthritis,Acid-related disease,Arthritis
0.35,0.223,0.462,0.061,1384.76,1,LILLY_H9X_MC_GBCF,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Arthritis,Anxiety,Arthritis
0.32,0.168,0.464,0.076,1514.38,1.002,LILLY_H9X_MC_GBCF,Diabetes_Mellitus_Type_2,Vivli,Arthritis : Asthma,Arthritis,Asthma
0.24,0.099,0.369,0.069,1700.69,1.001,LILLY_H9X_MC_GBCF,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Anxiety,Acid-related disease,Anxiety
0.16,-0.007,0.323,0.085,1679.86,1.002,LILLY_H9X_MC_GBCF,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Asthma,Acid-related disease,Asthma
0.28,0.114,0.435,0.082,2473.1,1,LILLY_H9X_MC_GBCF,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Asthma,Anxiety,Asthma
0.14,0.017,0.251,0.059,1525.72,1,LILLY_H9X_MC_GBDA,Diabetes_Mellitus_Type_2,Vivli,Cardiovascular : Pain,Cardiovascular,Pain
0.21,0.099,0.327,0.058,1395.71,1.001,LILLY_H9X_MC_GBDA,Diabetes_Mellitus_Type_2,Vivli,Arthritis : Cardiovascular,Arthritis,Cardiovascular
0.07,-0.074,0.202,0.072,1083.03,1.002,LILLY_H9X_MC_GBDA,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
0.25,0.12,0.364,0.064,1352.19,1,LILLY_H9X_MC_GBDA,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Cardiovascular,Anxiety,Cardiovascular
0.2,0.057,0.346,0.073,1404.72,1,LILLY_H9X_MC_GBDA,Diabetes_Mellitus_Type_2,Vivli,Asthma : Cardiovascular,Asthma,Cardiovascular
0.46,0.368,0.555,0.048,1606.26,1,LILLY_H9X_MC_GBDA,Diabetes_Mellitus_Type_2,Vivli,Arthritis : Pain,Arthritis,Pain
0.01,-0.128,0.15,0.072,1254.72,1.001,LILLY_H9X_MC_GBDA,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Pain,Acid-related disease,Pain
0.21,0.089,0.319,0.059,1452.65,1.001,LILLY_H9X_MC_GBDA,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Pain,Anxiety,Pain
0.26,0.133,0.381,0.065,1738.12,1.001,LILLY_H9X_MC_GBDA,Diabetes_Mellitus_Type_2,Vivli,Asthma : Pain,Asthma,Pain
-0.6,-0.726,-0.461,0.067,623.27,1.004,LILLY_H9X_MC_GBDA,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Arthritis,Acid-related disease,Arthritis
0.09,-0.024,0.208,0.06,1367.4,1.002,LILLY_H9X_MC_GBDA,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Arthritis,Anxiety,Arthritis
0.2,0.065,0.328,0.067,1431.92,1.001,LILLY_H9X_MC_GBDA,Diabetes_Mellitus_Type_2,Vivli,Arthritis : Asthma,Arthritis,Asthma
0.22,0.08,0.35,0.069,889.71,1.007,LILLY_H9X_MC_GBDA,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Anxiety,Acid-related disease,Anxiety
0.07,-0.091,0.23,0.083,666.13,1.002,LILLY_H9X_MC_GBDA,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Asthma,Acid-related disease,Asthma
0.34,0.202,0.466,0.066,1814.99,1,LILLY_H9X_MC_GBDA,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Asthma,Anxiety,Asthma
0.17,0.042,0.292,0.063,2447.77,1,LILLY_H9X_MC_GBDB,Diabetes_Mellitus_Type_2,Vivli,Cardiovascular : Pain,Cardiovascular,Pain
0.14,0.008,0.259,0.064,2075.98,1.001,LILLY_H9X_MC_GBDB,Diabetes_Mellitus_Type_2,Vivli,Arthritis : Cardiovascular,Arthritis,Cardiovascular
0.12,-0.039,0.277,0.082,1611.31,1.004,LILLY_H9X_MC_GBDB,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
0.01,-0.151,0.171,0.081,2406.66,1.001,LILLY_H9X_MC_GBDB,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Cardiovascular,Anxiety,Cardiovascular
0.14,-0.071,0.343,0.106,2705.13,1,LILLY_H9X_MC_GBDB,Diabetes_Mellitus_Type_2,Vivli,Asthma : Cardiovascular,Asthma,Cardiovascular
0.89,0.841,0.923,0.021,2409.64,1,LILLY_H9X_MC_GBDB,Diabetes_Mellitus_Type_2,Vivli,Arthritis : Pain,Arthritis,Pain
-0.17,-0.328,-0.001,0.086,1324.74,1.004,LILLY_H9X_MC_GBDB,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Pain,Acid-related disease,Pain
0.2,0.042,0.345,0.079,2179.3,1.002,LILLY_H9X_MC_GBDB,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Pain,Anxiety,Pain
0.23,0.029,0.41,0.099,2567.44,0.999,LILLY_H9X_MC_GBDB,Diabetes_Mellitus_Type_2,Vivli,Asthma : Pain,Asthma,Pain
-0.51,-0.66,-0.329,0.085,407.54,1.008,LILLY_H9X_MC_GBDB,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Arthritis,Acid-related disease,Arthritis
0.13,-0.035,0.28,0.081,1153.88,1.002,LILLY_H9X_MC_GBDB,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Arthritis,Anxiety,Arthritis
0.13,-0.063,0.324,0.099,2441.62,1,LILLY_H9X_MC_GBDB,Diabetes_Mellitus_Type_2,Vivli,Arthritis : Asthma,Arthritis,Asthma
0.29,0.114,0.464,0.091,1312.57,1.004,LILLY_H9X_MC_GBDB,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Anxiety,Acid-related disease,Anxiety
0.3,0.071,0.515,0.113,1072.25,1.002,LILLY_H9X_MC_GBDB,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Asthma,Acid-related disease,Asthma
0.22,-0.008,0.443,0.117,2902.98,1,LILLY_H9X_MC_GBDB,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Asthma,Anxiety,Asthma
0.29,0.166,0.42,0.064,2180.1,1,LILLY_H9X_MC_GBDC,Diabetes_Mellitus_Type_2,Vivli,Cardiovascular : Pain,Cardiovascular,Pain
0.37,0.254,0.492,0.06,2133.73,1.003,LILLY_H9X_MC_GBDC,Diabetes_Mellitus_Type_2,Vivli,Arthritis : Cardiovascular,Arthritis,Cardiovascular
-0.01,-0.16,0.151,0.079,2424.66,1.001,LILLY_H9X_MC_GBDC,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
0.25,0.111,0.39,0.071,2433.31,1,LILLY_H9X_MC_GBDC,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Cardiovascular,Anxiety,Cardiovascular
0.08,-0.087,0.254,0.087,2700.07,0.999,LILLY_H9X_MC_GBDC,Diabetes_Mellitus_Type_2,Vivli,Asthma : Cardiovascular,Asthma,Cardiovascular
0.73,0.653,0.806,0.039,2487.3,1.003,LILLY_H9X_MC_GBDC,Diabetes_Mellitus_Type_2,Vivli,Arthritis : Pain,Arthritis,Pain
-0.08,-0.264,0.1,0.094,983.54,1.011,LILLY_H9X_MC_GBDC,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Pain,Acid-related disease,Pain
0.3,0.153,0.44,0.072,2039.34,1.001,LILLY_H9X_MC_GBDC,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Pain,Anxiety,Pain
0.04,-0.146,0.215,0.092,2392.56,1,LILLY_H9X_MC_GBDC,Diabetes_Mellitus_Type_2,Vivli,Asthma : Pain,Asthma,Pain
-0.4,-0.562,-0.213,0.09,1102.04,1.005,LILLY_H9X_MC_GBDC,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Arthritis,Acid-related disease,Arthritis
0.07,-0.082,0.215,0.077,1547.29,1.001,LILLY_H9X_MC_GBDC,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Arthritis,Anxiety,Arthritis
0.14,-0.039,0.302,0.087,2288.73,1.001,LILLY_H9X_MC_GBDC,Diabetes_Mellitus_Type_2,Vivli,Arthritis : Asthma,Arthritis,Asthma
0.22,0.044,0.391,0.09,1325.17,1,LILLY_H9X_MC_GBDC,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Anxiety,Acid-related disease,Anxiety
0.19,-0.013,0.389,0.103,1819.29,1.001,LILLY_H9X_MC_GBDC,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Asthma,Acid-related disease,Asthma
0.15,-0.034,0.338,0.097,2513.01,1,LILLY_H9X_MC_GBDC,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Asthma,Anxiety,Asthma
0.21,0.094,0.33,0.06,2283.96,1.001,LILLY_H9X_MC_GBDD,Diabetes_Mellitus_Type_2,Vivli,Cardiovascular : Pain,Cardiovascular,Pain
0.26,0.134,0.376,0.062,1594.96,1.001,LILLY_H9X_MC_GBDD,Diabetes_Mellitus_Type_2,Vivli,Arthritis : Cardiovascular,Arthritis,Cardiovascular
-0.03,-0.176,0.124,0.078,1002.59,1.002,LILLY_H9X_MC_GBDD,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
0.2,0.06,0.335,0.071,1684.3,1.001,LILLY_H9X_MC_GBDD,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Cardiovascular,Anxiety,Cardiovascular
0.33,0.122,0.521,0.099,1144.38,1.004,LILLY_H9X_MC_GBDD,Diabetes_Mellitus_Type_2,Vivli,Asthma : Cardiovascular,Asthma,Cardiovascular
0.71,0.633,0.77,0.035,2214.67,1.001,LILLY_H9X_MC_GBDD,Diabetes_Mellitus_Type_2,Vivli,Arthritis : Pain,Arthritis,Pain
-0.09,-0.227,0.052,0.072,1438.14,1.005,LILLY_H9X_MC_GBDD,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Pain,Acid-related disease,Pain
0.32,0.197,0.435,0.061,2589.83,1,LILLY_H9X_MC_GBDD,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Pain,Anxiety,Pain
0.2,0.042,0.344,0.077,2468.2,1,LILLY_H9X_MC_GBDD,Diabetes_Mellitus_Type_2,Vivli,Asthma : Pain,Asthma,Pain
-0.67,-0.778,-0.525,0.064,294.04,1.013,LILLY_H9X_MC_GBDD,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Arthritis,Acid-related disease,Arthritis
0.12,-0.011,0.242,0.063,1239.6,0.999,LILLY_H9X_MC_GBDD,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Arthritis,Anxiety,Arthritis
0.2,0.05,0.343,0.075,1538.11,1.003,LILLY_H9X_MC_GBDD,Diabetes_Mellitus_Type_2,Vivli,Arthritis : Asthma,Arthritis,Asthma
0.29,0.154,0.428,0.07,828.34,1.002,LILLY_H9X_MC_GBDD,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Anxiety,Acid-related disease,Anxiety
0.13,-0.046,0.306,0.092,797.36,1.003,LILLY_H9X_MC_GBDD,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Asthma,Acid-related disease,Asthma
0.33,0.17,0.482,0.079,2783.11,1,LILLY_H9X_MC_GBDD,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Asthma,Anxiety,Asthma
0.42,0.265,0.559,0.076,1551.82,1.005,LILLY_H9X_MC_GBDE,Diabetes_Mellitus_Type_2,Vivli,Cardiovascular : Pain,Cardiovascular,Pain
0.4,0.252,0.535,0.073,1321.25,1.001,LILLY_H9X_MC_GBDE,Diabetes_Mellitus_Type_2,Vivli,Arthritis : Cardiovascular,Arthritis,Cardiovascular
0.04,-0.15,0.233,0.098,1303.23,1,LILLY_H9X_MC_GBDE,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
0.12,-0.076,0.3,0.096,1142.67,1.002,LILLY_H9X_MC_GBDE,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Cardiovascular,Anxiety,Cardiovascular
0.08,-0.132,0.289,0.111,1663.62,1.001,LILLY_H9X_MC_GBDE,Diabetes_Mellitus_Type_2,Vivli,Asthma : Cardiovascular,Asthma,Cardiovascular
0.75,0.663,0.832,0.043,2051.31,1,LILLY_H9X_MC_GBDE,Diabetes_Mellitus_Type_2,Vivli,Arthritis : Pain,Arthritis,Pain
-0.01,-0.218,0.189,0.103,1070.71,1.001,LILLY_H9X_MC_GBDE,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Pain,Acid-related disease,Pain
0.16,-0.024,0.345,0.094,1291.17,1,LILLY_H9X_MC_GBDE,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Pain,Anxiety,Pain
0.01,-0.208,0.236,0.112,1512.29,1.003,LILLY_H9X_MC_GBDE,Diabetes_Mellitus_Type_2,Vivli,Asthma : Pain,Asthma,Pain
-0.47,-0.647,-0.257,0.101,681.68,1,LILLY_H9X_MC_GBDE,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Arthritis,Acid-related disease,Arthritis
0.25,0.065,0.418,0.089,1293.8,1,LILLY_H9X_MC_GBDE,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Arthritis,Anxiety,Arthritis
0.03,-0.195,0.244,0.111,958.63,1.001,LILLY_H9X_MC_GBDE,Diabetes_Mellitus_Type_2,Vivli,Arthritis : Asthma,Arthritis,Asthma
0.28,0.063,0.486,0.11,1173.81,1.004,LILLY_H9X_MC_GBDE,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Anxiety,Acid-related disease,Anxiety
0.21,-0.038,0.45,0.127,712.37,1,LILLY_H9X_MC_GBDE,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Asthma,Acid-related disease,Asthma
0.07,-0.195,0.334,0.134,1209.83,1.001,LILLY_H9X_MC_GBDE,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Asthma,Anxiety,Asthma
0.18,-0.099,0.448,0.143,1875.94,1,LILLY_H9X_MC_GBDG,Diabetes_Mellitus_Type_2,Vivli,Cardiovascular : Pain,Cardiovascular,Pain
0.36,0.108,0.571,0.119,1469.28,1,LILLY_H9X_MC_GBDG,Diabetes_Mellitus_Type_2,Vivli,Arthritis : Cardiovascular,Arthritis,Cardiovascular
0.04,-0.286,0.362,0.167,1633.82,1,LILLY_H9X_MC_GBDG,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Cardiovascular,Acid-related disease,Cardiovascular
0.2,-0.1,0.464,0.145,1787.07,1.002,LILLY_H9X_MC_GBDG,Diabetes_Mellitus_Type_2,Vivli,Anxiety : Cardiovascular,Anxiety,Cardiovascular
0.5,0.08,0.85,0.199,1047.84,1.002,LILLY_H9X_MC_GBDG,Diabetes_Mellitus_Type_2,Vivli,Asthma : Cardiovascular,Asthma,Cardiovascular
0.73,0.545,0.867,0.082,1593.56,1.002,LILLY_H9X_MC_GBDG,Diabetes_Mellitus_Type_2,Vivli,Arthritis : Pain,Arthritis,Pain
-0.47,-0.849,0.064,0.24,633.72,1.001,LILLY_H9X_MC_GBDG,Diabetes_Mellitus_Type_2,Vivli,Acid-related disease : Pain,Acid-related disease,Pain
