term,match1,match2,match3,match4,match5
ferro-b-cal,ferrocin,ferrogels,ferrocite,ferrogels,ferrogels
flanil,flumazenil,flumazenilo,flaxedil,flumazenilum,fluanxol
flavine adenine dinucleotide,fluprednidene and antibiotics,flavoxate [chemical/ingredient],fluocinolone acetonide and antiinfectives,fluocinolone acetonide and antiinfectives,flurandrenolone acetonide
flomoxef sodium,flomoxef,sulfoxone sodium,flomax,flomax relief mr,flomax mr
fluorescein sodium,fluoresc sod,fluorescein,fluorescein stain,fluorescein acid,fluoresceine
folgamma,flebogamma,flebogamma,folgard,folgard,folgard os
folic acid w/minerals nos/vitamins nos,folic acid/iron/multivitamins,folic acid in oral dosage form,folic acid preparation,folicare,folivane-f
folic acid w/vitamin b12 nos/pyridoxine hcl,folic acid,folic acid and derivatives as antianemics,folic acid preparation,folitab,folitab
fucicort,fucibet,fucibet,fucibet,nucort,u-cort
fucidin-hydrocortison,fucidin,fucidin,fucidin h,fucidin acid,fucidin acid
galenic /cisplatin/fluorouracil/,galenphol,galenamet,galenomycin,galenomycin,galenomycin
ginseng nos,genesis,genesis,genesis,genesis,genesis
"glycyrrhizic acid, ammonium salt",glycyrrhizic acid,glycyrrhizinic acid,glycyrrhizic acid [chemical/ingredient],glycyrrhetinic acid,glycyrrhetic acid
guaiazulene,guaiazulen,guaispan,guaiatussin,guaifenex g,guaiacolsulfonate
guaifenesin w/dextromethorphan,guaifenesin,guaifenex dm,guaifenex dm,guaifenesin la,guaifed
hartman,haltran,haltran,haltran,haltran,haltran
hearing aid user,heartline,heartline,heartgard,heartline,heartgard
hepatitis a vaccine,hepatitis vaccines,hepatitis a+typhoid vaccine,hepatitis a + typhoid vaccine,hepatitis vaccine combinations,hepatitis a+typhoid vaccine (product)
hexabrix,hexamarium,hexadrol,hexadrol,hexadrol,hexadrol
hochuuekkitou,hc,hc,"hypochlorite, sodium",hydrocet,hydrocet
hopantenic acid,ethanoic acid,ethanoic acid,iopanoic acid,acetic acid,acetic acid
huscode,husk,hc,nucodine,nucodine,mucodyne
hyoscine methobromide,hyoscine hydrob,hyoscine hydrob,hyoscine,hyoscine,hyoscine
icaps plus,icar-c plus,icar-c plus,icar-c plus,icar-c plus,icar-c plus
icosapent,isocet,isocet,corpent,iopentol,isocaine
immune tolerance induction,immune sera,immune sera,immune interferon,immune sera and immunoglobulins,immune sera systemic antiinfectives
initard                            /00634701/,iad,intal,intal,intal,intal
insulin lispro protamine suspension,insulin lispro protamine recombinant,insulin lispro protamine recombinant,insulin lispro protamine recombinant,insulin lispro (rdna origin),insulin lispro (rdna origin)
intrasite                          /01315101/,intratect,intratect,intrinsa,intraven,intraven
isonal                             /00187301/,isonarif,isonarif,iso d,isoniazid,isoniazid 150 mg and rifampicin 300 mg/1 each oral capsule
joint stabilisation,joint-flex daily,intal,intal,intal,intal
jox,jod,joddeoxiuridin,joddeoxiuridin,joddeoxiuridin,jodum
kalium-magnesium,kaliumiodid,kaliumiodid,kaliumiodid,kalium jodatum,kalium jodatum
korylan                            /01037001/,korlym,kordaron,ran,kokain,kokain
lactec                             /00490001/,lactase,lactocal,lactocal,lactrase,lactocal
lactobacillus bifidus,lactobacillus fermentum,lactobacillus acidophilus/pectin oral capsule,lactocal,lactocal,lactocal
lactobacillus sporogenes,lactobacillus fermentum,lactobacillus acidophilus/pectin oral capsule,lactase oral solution,lactocal,lactocal
lactomin,lactoflavin,lactoflavine,lactulosum,"lactulose, combinations",actamin
lamaline                           /01708901/,lamb,lamb,lamb,lamb,lamb
lespedin,levsin,l-ephedrine,l-ephedrine,l-ephedrine,l-ephedrine
link                               /00407101/,linde,lindan,linseed,linzess,lindane
loratadine w/pseudoephedrine,loratadine,loratadinum,"loratadine, micronized",loratadina,loratadine [chemical/ingredient]
lysozyme hydrochloride,lysozyme,lysozyme,lysodren,lysol healthy touch,lysteda
m.a.c. with anaesthetic,m.a.h.,m.a.h.,m.a.h.,other local anesthetics,macitentan
magnesium gluceptate,magnesium gluconate,magnesium lactate,magnesium sulphate,magnesium sulphate,magnesium sulphate
magnesol                           /01918801/,magnesia,magnesia,magnesia,maneo,maneo
maxmarvil,maxair,maxair,marax,marax,marax
mega men,megace,megace,megace,megamilbedoce,mega-trim
mepronizine                        /00789201/,mepron,meprozine,meprozine,meprozine,mepranix
metaraminol tartrate,metaraminol,metaraminol (substance),metaraminolum,aluminum acetotartrate,metaradrin
methylephedrine,methylcephaeline,methylperon,methylpred,methylphenidate,methylphenidan
mexazolam,metazolamida,methazolamid,methazolamide,midazolam,methazolamidum
mexidol,mexitil,mexityl,medrol,medrol,medrol
milgamma                           /01146701/,m,migramax,miloxicam,mil-par,migard
montmorillonite,monopril,monosorbitrate,monuril,monoparin,monotrim
multivitamin and mineral,multivitamins and iron,multivitamins and iron,multivitamins and calcium,multivitamins and trace elements,"multivitamins, other combinations"
multivitamins with iron,multivitamin with iron,multivitamin with iron,"multivitamins, plain","multivitamins, plain","multivitamins, other combinations"
myolaxin,myoxin,myoxin,myoxin,myoxin,myoxin
nedaplatin,nemdatine,nedeltran,dentapaine,dentapaine,dentapaine
nephrotect,nephrox,nephrox,nephrocaps qt,nephrocaps qt,nephrocaps qt
neutra-phos                        /00555301/,neutraphor,neut,neutrahist,neutrahist,neutratop
nisita                             /01765101/,nilstat,nilstat,nilstat,nisoldipina,niatin
nite-time cold medicine,nitroprusside [chemical/ingredient],"nitric oxide, endothelium-derived","nitric oxide, endothelium derived",nitrous oxide [chemical/ingredient],nitric oxide [chemical/ingredient]
norflox-tz,norfloxacin,norfloxacin,norfloxacine,norfloxacino,norfloxacine
norlestrin fe,norgestrienone,nerisone fte,norgestrel l,norgestrel l,norgeston
normalax                           /06848001/,normax,normix,normasol,normasol,normalip
novalucol novum,novacort,novacort,novacort,novacort,novacort
ocadrik                            /01507301/,odrik,ocaliva,cd,oc8,oris
odimont-lc,lomont,omontys,monopril-hct,monopril-hct,mitosol
olea europaea leaf extract,"oleandomycin, triacetate (ester)",oleandomycin / tetracycline,oleandomycin (as troleandomycin),olay professional skin clearing treatment,olay professional skin clearing treatment
oralflora,oral b fluorinse,oral b fluorinse,oralone,oralone,oralone
orenzyme,enzymes,enzymes,enzymes,enzymes,enzymes
orofer-xt,ornex,ornex,orelox,orlept,orap forte
orthoxicol for children nightrest cough,ortho cyclen,ortho cyclen,ortho-cyclen,ortho-cyclen,orthoclone okt3
ovulen 50,olena,"ovulation stimulants, synthetic",ovex,durabolin 50,durabolin 50
oyster shell calcium with vitamin d/01675501/,oyst calcium,oyst calcium,oyst cal,oyst cal,oyst cal 500
panthenol,d-panthenol,d-panthenol,d-panthenol,pantothenol,(+)-panthenol
pantova-d,panthoderm,panthoderm,panthoderm,pancof-pd,pancof-pd
pentazocine lactate,pentazocine hcl,pentazocina,pentazocin,pentazine,pentazine
perikabiven,perigiene,periactin,perio-kin,perio-kin,pericyazine
pheniramine aminosalicylate,pheniramine,pheniramine,pheniraminum,pheniraminum,pheniramine (substance)
phensedyl                          /00093001/,phenol,phenol,phenol,phenol,phenobel
pholtex,phosex,phytex,physiolyte,physiolyte,physiolyte
pias,pas,pima,pima,pima,optilast
piperacillin w/tazobactam          /01606301/,piperacillin/tazobactam,piperacillina,piperacilina,piperacillin,piperacillinum
pirisudanol maleate,pirisudanol,pirisudanol (substance),pirinase,piritinol,piriton allergy
plantago spp.,plan b one-step,plan b one-step,platinol,antagon,plasters
posterisan f,postmi,postmi,postmi,ponstan fte,ponstan
potassium bicarbonate,potassium canrenoate,potassium gluconate,potassium aminobenzoate,potassium iodide,potassium iodide
prenatal vitamins                  /01549301/,prenatal rx 1,prenatal rx 1,prenatal rx 1,prenatal rx 1,prenatal rx 1
proctyl                            /01704301/,procet,procet,procort,procort,procort
"progestogens and estrogens, fixed combination","progestogens and estrogens, fixed combinations","progestogens and estrogens, fixed combinations",progestogens and estrogens in combination,"progestogens and estrogen systemic contraceptives, fixed combinations","progestogens and estrogens, sequential preparations"
prolase,protilase,prolensa,prolia,prolastin,proladone
promethazine methylene disalicylate,promethazine hcl,promethazine teoclate,prometazina,prometazina,promethazine [chemical/ingredient]
promethazine w/codeine,promethazine,promethazine,prometazin,prometazin,"promethazine, combinations"
prunus serotina,prunus africanae cortex,prulet,prussian blue stain,prucalopride (substance),prussian blue (product)
pyralgin,pargyline,pyrilamine,pyrilamine,pyrantel,pyrazinamid
quinfamide,quinidex,quinagolide,quinadure,quinupramine,quifenadine
quinidine polygalacturonate,quinidina,quinidine,quinina,quinine,quindal solution
rabies vaccine,rabies vaccines,rabies,rubella vaccine,rabies serum,rubella vaccines
ramosetron,alosetron,ramodar,tropisetron,pramosone,pramosone
rehidrat,rezira,rezira,retacrit,revia,resicort
rehydron,mebhydrolin,remeron,mebhydroline,dihydrone,regroton
reparil-gel,repa-glinide,repaglinide,replagal,repan,repan
retinol palmitate,retinol,retin a,retinol,retin a,retinol
riamet,riomet,rifamate,rifamate,airet,airet
rioz-dmp,rio,ri-mag,ri-mox,ri-mox,ri-mox
ronatic,ron acid,drotic,drotic,drotic,drotic
ropivacaine hydrochloride,ropivacaine hcl,acriflavine hydrochloride,ropivacaine,ropivacaina,ropinirol
rowatinex,rogaine,rogaine,roxatidine,actinex,rotarix
ruscus aculeatus,rusyde,sucralfat,suscard buccal,ru tuss de,ru tuss de
salvia miltiorrhiza,salvax,salamol,salamol,salitop,salitop
sangobion,sandoglobulin,sandoglobulin,ancobon,ancobon,sandoglobulin nf
saridon                            /00048501/,sa,sa,sarilumab,ado,saluron
sarpogrelate,saruplase,sapropterina,sargramostim,salmaterol,salmeterol
secbutabarbital,secobarbital,secobarbitalum,secobarbital (substance),secura,secura
seletop-c,selestoject,selestoject,selestoject,selestoject,selestoject
sensorcaine w/epinephrine bitartrate,sensorcaine with epinephrine,sensorcaine with epinephrine,sensorcaine with epinephrine,sensorcaine with epinephrine,sensorcaine with epinephrine
sinupret                           /00578801/,sinuvent,sinuvent,sinupan,sinutab,sinupan
slippery elm,clipper,ery,ery,ery,sofiperla
smecta                             /00837601/,sa,sa,mea,mta,met
sodium citrate acid,sodium citrate,sodium citrate (substance),"sodium citrate, unspecified form",sodium citrate oral solution,sodium nitrite
sodium iodide,sodium iodide i123,sodium iodide i-123,"sodium iodide,i-123",sodium iodide i^123^,"sodium iodide, i-123"
soframycin comp. m. flumeprednisolon,soframycin,soframycin,soframycin,sofratulle,soap
solita-t no.2,solian,solivito n,solivito n,soltamox,solganol
solpadeine,solpadeine max,solpadeine plus,solpadeine headache,solpadeine max solb,solatene
strocain,trocaine,trocaine,trocaine,trocaine,streptomycin
sulfocamphocain,sulfoam,sulforcin,sulforcin,sulforcin,sulfamethazine
supragesic                         /01152401/,suprane,supac,supac,supac,supac
"tea, green",teargen ii,teat guard,termene,tears renewed,statuss green
thioglycolic acid,thioctic acid,thiocolchicoside,ioglicic acid,"thioglucose, gold",d-thioctic acid
tiger balm                         /00734101/,tig,tigecyclinum,tg,tigecycline,tigeciclina
tiropramide hydrochloride,tiropramide,tiropramide (substance),histamine dihydrochloride,orphenadrine hydrochloride,iopamidol
topotecan hydrochloride,topotecan,topotecane,topotecanum,toposar,topotecan [chemical/ingredient]
travad phosphate,aralen phosphate,travatan,travasol 10,travasol 10,travasol 10
trimecaine,trimeprazine,trimetazidine,trimethadione,trimebutine,trimethadion
ulobetasol propionate,ulobetasol,clobetasol prop,clobetasol prop,ulobétasol,ulobetasolum
unseiin,un-aspirin,uni-mint,uni-mint,unituxin,nebicin
ural                               /00388201/,uralgic,uralgic,uralgic,uralgic,uralgic
venalot                            /00843801/,venaxx xl,ventra,ventuss,vendone,ventuss
venostasin                         /00097701/,venoruton,ventra,venoruton p4,vendone,vendone
vepicombin                         /00197201/,vicodin,vicodin,epib,pob,pmb
vicks formula 44m                  /01056501/,vicks formula 44,vicks,vicks,vicks 44e,vicks 44e
vinblastine sulfate,vinblast sulf,vinblastina,vinblastine,vinblastine (substance),vinblastin
vincents                           /00110301/,vincasar,vincristin,vincristine,vincristina,vincamine
vitamedin,vitamins,vitamins,vitamin e,vitamin g,vitamin h
vitamin b                          /90046501/,vitamin b 1,vitamin b 3,vitamin b 2,vitamin b1,vitamin b3
vitreolent                         /00644801/,vitron-c,vitron-c,vitron-c,vitron-c,vitron-c
water,wte,wartec,wartex,wartex,wilate
wobenzym                           /00598501/,w,e,e,coenzyme r,enzymes
wool fat,wood creosote,dolono infant,zoloft,wilate,wilate
zetitor,zetia,zepatier,zibor,zetacet,zetacet
zheng ju pian,zn,ng,ng,zonegran,phenargan
a.p.c.                             /00005201/,a.p.l.,ap,ap,a.t.,abpc
abacavir sulfate,abacavir (substance),abacavir,abacavir - lamivudine,abacavir + lamivudine,"abacavir sulfate 600mg, lamivudine 300mg oral tablet"
abetil                             /01418501/,abetimus,e,e,abtrim,abtrim
abortion induced,absorbine lidocaine,absorbine lidocaine,absorbine lidocaine,absorbine lidocaine,absorbine lidocaine
aceoto plus                        /01778701/,aceon,acenol,acebutolol,acepril,acorvio plus
acetylsalicylic acid w/calcium,acetylsalicylic acid,acetylsalicylic acid,acetylsalicylic acid,acetylsalic acid,acetylsalic acid
acifugan,acupan,acidum gadobenicum,acriflavine,acid gone,acid gone
aciloc-rd,acc-,aciclovir,aciclovir,aciclovir,aciferol d
aclatonium napadisilate,aclasta,aclacinomycin a,amlactin ap,amlactin ap,aclarubicin (substance)
actifed compound linctus,acticon,acticon,actifed with codeine,actifed with codeine,actifed with codeine
actifed compound linctus           /00138201/,acticon,acticon,actisite,actisite,actisite
actonel combi                      /02223601/,actonel,actonorm,actos,acne,actron
acuilix                            /01307801/,acuvail,acuflex,acuvail,acular,acular
advil allergy sinus,advil cold & sinus,advil cold & sinus,advil cold & sinus,advil cold & sinus,advil cold & sinus
afi-b-total,afinitor,afinitor,afrinol,ak-trol,ak-trol
agarol                             /00115001/,agoral,agoral,alor,alor,alor
agents against amoebiasis and other protozoal,agents against amoebiasis and other protozoal diseases,agents against leishmaniasis and trypanosomiasis,"agents for dermatitis, excluding corticosteroids",agents acting on the renin-angiotensin system,other agents against amoebiasis and other protozoal diseases
albutamol,salbutamol,salbutamol,albuterol,albuterol,alba
alcos-anal                         /00368401/,alcobon,alcobon,alcohol,alcortin,alcortin
alernyl-b,aler-dryl,aler-dryl,alera,altaryl,alkeran
alkonium,alkums,alkums,aloquin,alkiron,liskonum
"allergen, grass pollen",allergens,allergens,allergen ear,allergen ear,allergen ear
allergospasmin,allegron,allercon,allercon,allercaine,allercaine
alphadryl,alphaderm,alphaderm,alphaderm,alphosyl,alphosyl
althaea officinalis extract,althea root,altacaine,altacaine,altacaine,altacaine
aluminium hydroxide gel w/simethicone,aluminium hydroxide,aluminium hydroxide + magnesium carbonate,aluminium hydroxychloride,aluminium hydroxychloride,aluminum hydroxide gel
alvityl plus,alverin plus,alverin plus,alvimopan,alexitol sod,corzall plus
amfetamine sulfate,amfetamine,amfetaminum,amfepramone (substance),amfepramone,amfenac amide
amigrand,migrend,migrend,migrend,amipramidin,amiodarona
amino acids nos w/carthamus tinctorius oil/fr,amino acids nos,amino acids,amino acids,amino acids,amino acid
aminomix                           /00994901/,amix,aminomine,amox,amidox,amimax
amiyu                              /00749601/,amix,amias,ambi,aminosyn ii 3.5 % m in 5 % dextrose,aminosyn ii 3.5 % m in 5 % dextrose
amlodipine w/benazepril,amlodipine,amlodipine / telmisartan,amlodipine free base,amlodipine/telmisartan,amlodipino
amosulalol hydrochloride,amsa,amlodipine / hydrochlorothiazide / valsartan,amlodipine/hydrochlorothiazide/valsartan,amd,amsa pd
ampicillin sodium,ampicillinum,ampicillinum,ampicillin,ampicillin,ampicillin acid
ampiclox,amphocil,amphocil,amphocil,ampicilina,ampicilina
anisodamine,pyranisamine,pyranisamine,lonidamine,anamine,anamine
anticoagulant therapy,antivaricose therapy,antinematodal agents,anti-inhibitory coagulant complex,anti-inhibitory coagulant complex,antigout preparations
antiplatelet therapy,antivaricose therapy,antivaricose therapy drugs,anticholinesterase parasympathomimetics,anti-parathyroid agents,"anti-lewisite agent, british"
antipyrine w/benzocaine,antipyrine otic,antipyrine otic,antipyrine [chemical/ingredient],antipyrine [chemical/ingredient],antiben
antistin privine,antipyrine,antipyrine,"antitoxin, diphtheria","antitoxin, diphtheria",antithrombin ii
anugesic-hc,anugesic hc,anugesic hc,anugesic hc,ugesic,ugesic
anusol plus                        /00330501/,anusol,anusol,anusol plus hc,anusol plus hc,anusol plus hc
aplexil,aplenzin,palexia,apexicon,aloxi,arlex
aqueous,aquest,aquest,aquatensen,aquacot,aquasept
aqueous                            /00662801/,aquest,aquest,aquasol e,aquacot,aquasol a
aqueous iodine solution,aqueous procaine penicillin g,aquest,aqua maris decongestant,aqua maris decongestant,aqua maris decongestant
arbid                              /00002501/,arbil mr,arbinoxa,arsb,arbekacin,aerobid
ardeparin sodium,ardern,warfarin sod,aldadiene potassium,ipodate sodium,acidum risedronicum
aristochol spasmolyticum,aristocort,aristospan,aristocort,aristospan,aristocort
aronamin-gold,aromasil,aromasin,apronal,anamine,anamine
arotinolol hydrochloride,aralen hydrochloride,arginine hydrochloride,9 alpha fludrohydrocortisone,acriflavine hydrochloride (product),chloral hydrate
arthryl                            /06859001/,arth-rx,arth-rx,arthur itis,arthur itis,arthroxen
ascorbic acid w/biotin/boron/calciu,ascorbic acid,ascorbic acid,ascorbic acid,ascorbic acid (vit c),ascorbic acid (vit c)
ascorbic acid w/biotin/calcium pant,ascorbic acid and calcium,ascorbic acid/rutin oral tablet,ascorbic acid/rutin oral tablet,ascorbic acid/rutin oral tablet,ascorbic acid/rutin oral tablet
ascorbic acid w/calcium pantothenat,ascorbic acid and calcium,ascorbic acid/rutin oral tablet,ascorbic acid/rutin oral tablet,ascorbic acid/rutin oral tablet,ascorbic acid/rutin oral tablet
ascorbic acid w/calcium pantothenat/07428301/,ascorbic acid and calcium,ascorbic acid,ascorbic acid,ascorbic acid/rutin oral tablet,ascorbic acid/rutin oral tablet
ascorbic acid w/calcium pantothenate/chromic,ascorbic acid oral powder,ascorbic acid oral powder,ascorbic acid oral powder,ascorbic acid/rutin oral tablet,ascorbic acid/rutin oral tablet
ascorbic acid w/calcium/minerals nos/retinol/,ascorbic acid and calcium,"ascorbic acid (vitamin c), combinations",ascorbic acid,ascorbic acid/rutin oral tablet,ascorbic acid/rutin oral tablet
aseptobron respiratorio,asepso,asepxia,asepxia,aldosterone preparation,ascriptin enteric
aspara,apara,aspav,asparaginase ii,asparaginase macrogol,astagraf
aspartate calcium w/calcium/diastase/glycyrrh,"aspartate, magnesium","aspartic acid, magnesium (2:1) salt",asparagine deaminase,asparaginase in parenteral dosage form,asparaginase [chemical/ingredient]
aspecton                           /00625801/,as,asperdrink,asperdrink,asperdrink,aspergum
atazanavir sulfate,atazanavir,atazanavir (substance),atazanavirum,atazanavir / cobicistat,atazanavir + cobicistat
atenolol w/hydrochlorothiazide,atenolol and thiazides,atenolol,atenolol and other diuretics,atenolol [chemical/ingredient],atenolol/bendroflumeth
atopiclair,atopica,atopica,topilar,atopalm itch relief,atopalm itch relief
atrial natriuretic peptide,atriance,atra,atra,atridine,atridine
atropa belladonna extract,atropen,atropen,atrofed,atrogen,atrofed
autrin,daturin,atropin,aneurin,atralin,atralin
avena sativa fluid extract,aventyl,aveeno active naturals daily moisturizing,aveeno active naturals skin relief,aventis brand lepirudin,aveeno active naturals clear complexion
ayurvedic preparation nos,acid preparations,estradiol preparation,thyroid preparations,anti-acne preparations,aredia
azecol,aztec gold,azo,pazeo,vazol,pazeo
azelnidipine w/olmesartan medoxomil,azelastine [chemical/ingredient],azelastine [chemical/ingredient],azelastine [chemical/ingredient],azelastina,azelastina
b-combin                           /00255501/,bc,bc,bc,bc,b-caro-t
bacicoline                         /03083601/,bacitracin,bacitracin,bacitracin,baci-im,baci rx
baldriparan                        /00712901/,bal,balagan,balagan,balagan,balagan
basica,absorica,absorica,basiliximab,basic blue 9,basic blue 9
becosules                          /01353601/,beconase,beconase,beconase,beconase,becodisks
becosules capsule,beconase,beconase,beconase,beconase,becodisks
benadryl allergy                   /01454801/,benadryl,benadryl,benadryl allergy sinus,benadryl allergy sinus,benadryl allergy sinus
benazepril w/hydrochlorothiazide,aliskiren / hydrochlorothiazide,aliskiren/hydrochlorothiazide,benazepril,aliskiren-hydrochlorothiazide,benazepril and diuretics
bendazol hydrochloride,benzochloryl,bendazac,bendazac,benzoyl alcohol,bendrofluazide
benexate hydrochloride,betaine hydrochloride,betaine hydrochloride (substance),benzene hexachloride,betaine hydrochloride [chemical/ingredient],benzethonium chloride
benylin dry cough,benylin,benylin + codeine,benylin expectorant,benylin expectorant,benylin multi-symptom
benzocaine w/tetracaine,benzocaine/triclosan,benzocaine otic,benzocaine otic,benzocaine otic,benzocaine otic
benzthiazide,benza,benza,benza,benzidamine,benzidamine
berberine,berkaprine,berlind,berberex wound cleanser,berlin blue,beperiden
beriplex p/n,berinert,bergapten,belix,belix,erex
berocca,berotec,roccal,roccal,roccal,bepro
"berocca calcium, magnesium",berodual n,bencocaine,bencocaine,bencocaine,bencocaine
betalin complex,betadine,betadine,betadine,betadine,betadine
bifidobacterium lactis,binaca fluoride anticavity,binaca fluoride anticavity,"bioallethrin, combinations","bisacodyl, combinations","bietaserpine, combinations"
biguanide,biguanides,biguanides,biguanides and amidines,biguanide antimalarials,biguanide blood glucose lower drugs
bio-record,biore,biore,bio-carotene,biocare,biocare
bio-strath                         /01376101/,bio-tab,bio-tab,bio-statin,bio-statin,bio-statin
bio org super pot nerv relaxer val&passiflor,biore,biore,biorphen,biotina,bioral
biogesic                           /00411801/,biore,biore,bc,bc,biocef
biotussil                          /01363301/,biotussin,biotussin,biotussin,biotuss pe,biotuss dm
bismuth aluminate,bismuth subnitrate,bism subgallate,bismuth subnitrate (substance),bismuth subnitrate [chemical/ingredient],sulbuthiamine
bisoprolol w/hydrochlorothiazide   /06833601/,bisoprolol,bisoprolol and thiazides,bisoprolol in oral dosage form,bisoprolol/aspirin,bisoprololum
bisoxatin acetate,bisoxatin,biotine,biotin,bisolax,bisolax
bivelin,biclin,biklin,biclin,biklin,biclin
blackmores bio magnesium,black draught,blm,blocadren,blocadren,backprin
blood growth hormone,blood coagulation factors,"blood-coagulation factor viii, complex",blood coagulation factor x,blood and blood forming organ drugs,blood coagulation factor ix
blood oestrogen,blood coag factor x,blood coag factor ix,blood coag factor vii,blood coag factor viii,blood coag factor xiii
blood potassium,blood plasma,potassium,potassium,blood plasma (product),"blood transfusion, auxiliary products"
boehmite,bromsite,bromhexine,blephamide,blephamide,blephamide
brentan,bosentan,benestan,ambrisentan,brentuximab vedotin (product),brevital
brinerdin,brivudin,brinase,brintellix,brivudine,bridion
bro-zedex,brofed,brofed,brovex,brovex-d,brovex-d
bro-zedex                          /01691901/,brofed,brofed,brovex,bromfed,broflex
bromperidol decanoate,bromperidol,bromelain protease,bromelain protease,bromperidol (substance),bromopride
brompheniramine maleate,brompheniramine mal,brompheniramine,brompheniramin,"brompheniramine, injectable",brompheniraminum
bronchicum                         /01290501/,bronchial,bronchial,bronchodil,bronchodil,brondil
broncho-vaxom                      /00648501/,bronchial,bronchial,broncholate,broncholate,broncholate
bros,ros,brodspec,brodspec,brodspec,brodspec
brozeet,breze,brolene,brolene,brolitene,brondelate
buckley's mixtura,buckleys mixture,buckley's bedtime formula,buckley's bedtime formula,buckley's dm decongestant,buckley's dm decongestant
bulk producers,bulk-forming laxatives,butylpyrazolidines,butler protect,butler protect,bromides
buscopan plus,buscopan,buscopan cramps,buscopan ibs relief,bupap,buspar
butalbital w/aspirin/caffeine,butatron,butatron,butanilicaine,butazolidin,butazolidin
butorphanol tartrate,butorphanol,butorphanol (substance),butorphanolum,butorfanol,butorphanol [chemical/ingredient]
bvk roche                          /00314701/,bc,bc,bc,bc,breo
c-1000-c,c-500,c-500,c-500,cobal-1000,c-500-gr
ca,caz,care,care,care,care
cabagin                            /00246401/,cabaseril,cabaseril,cabaser,cabaser,cabazitaxel
cade oil,calderol,capozide ls,cadexomer iodine,cadexomer-iodine,carexil
caditar,cafda,cacit,codipar,coaltar,coaltar
cafarex,care,care,care,care,care
calcemin,calc,calc,calcid,calcet,calcet
calcigran,calcimar,calciparine,calcidrine,calcidrink,calcidrink
calcium carbonate w/cholecalciferol/sodium,calcium carbonate,calcium carbonate,calcium carbonate/simethicone oral liquid,calcium carbonate/simethicone oral liquid,calcium carbonate oral powder
calcium carbonate w/magnesium,calcium carbonate granule,calcium carbonate granule,calciumcarbonat,calciumcarbonat,calcium carbonate (substance)
calcium chlorate,calcium chloride,calcium chloride,calcium chloride,calcium gluconate,calcium gluconate
calcium fluoride,calcium chloride,calcium chloride,calcium chloride,calcium(2+) chloride,calcium(2+) chloride
calcium horm,calcium chloride,calcium chloride,calcium chloride,calcium homeostasis,calcium(2+) chloride
calcium pantothenate w/vitamins nos,calcium pantothenate,calcium pantothenate,calcium d-pantothenate,calcium d-pantothenate,calcium pantothenate preparation
calcium w/minerals/vitamin d nos,calcium carbonate/vitamin d oral wafer,calcium carbonate/vitamin d oral wafer,calcium antacid,calcium antacid,calcium carbonate/vitamin d oral tablet
calmylin                           /01190401/,calmicid,calmurid,calmurid,calamine,calmurid hc
caltrate +d                        /06862301/,caltrate,caltrate,caltro,caltro,care
calvita                            /00287201/,calvite p & d,calvite p & d,calvite p&d,calvite p&d,calcitab
camgesic,cafgesic,cafgesic,cafgesic,amigesic,calagesic
camphor w/menthol,camphora,camphor-phenol topical,camphor-phenol topical,camphor-phenol topical,camphor-phenol topical
canephron                          /00996401/,canesten,canesten,canesten,canesten af,canesten vc
cannabis,cannabinoids,cannabinoid,cannabinoids [chemical/ingredient],cancidas,cantassium
carbager-plus,carbaglu,carace plus,carba-xp,carba-xp,carbagen
carbasalate,carbasalate calcium,carbasalate calcium,carbamates,carbasalato calcico,carbasalato calcico
cardioplegic solution,cardioplegia solution,cardioplegia solutions,cardioplegic solution agent,cardioplegia solution (product),cardioplegic solution agent (substance)
carminative                        /01272401/,care,care,care,care,care
carminativum-hetterich,carmustine,carmustina,carmustine [chemical/ingredient],"carmine, indigo",carbatuss-cl
carnosine,carnitine,carboxine,narcotine,carbocaine,capsorin
carpantin                          /00942401/,carac,cartia,cartia,care,care
carthamus tinctorius,carnitor,cartia,cartia,cardicor,caramet cr
catarrh,catapres,catapres,catapres,catacrom,catapresan
cebetabs,cet,zebeta,sleeptabs,sleeptabs,ceberclon
cebion-calcium med d3-vitamin,cenafed,cubicole d,cetuximab [chemical/ingredient],cena k,cena k
cefixime trihydrate,cefixime,cefixim,cefixima,cefixime (substance),cefixime [chemical/ingredient]
cefminox sodium,cefminoxum,cefminox,cefpodoximum,cefminox (substance),cefuroxime sod
cefodizime disodium,cefodizime,cefodizime (product),cefodizime (substance),cefotaxime sod,cefotaximum
cefonicid sodium,cefonicidum,cefonicido,ceforanidum,cefonicid (substance),cefobid
cefoperazone sodium w/sulbactam,cefoperazonum,cefoperazone,cefoperazono,ceforanido,ceforanide (substance)
cefpimizole,cefprozil,cefpirome,cefpiramido,cefepime,cefprozilo
cefpiramide sodium,cefpiramidum,cefpiramide,cefpiramido,cefpirome sulf,cefamandolum
celadrin,claradin,claradin,claradin,clarine,clarine
cenovis mega-multi,centrum singles-vitamin c,centrum singles-vitamin e,centrum singles-vitamin c,centrum singles-vitamin c,central nervous system
cenovis multivitamin and mineral,"iron, multivitamins and minerals",centrum singles-vitamin e,centrum singles-vitamin c,centrum singles-vitamin c,cenfol
centella asiatica extract,centrally acting sympathomimetics,central nervous system diagnostic radiopharmaceuticals,centex,centrally acting antiobesity products,cetec
centrum                            /01536001/,centran,centrax,centex,centergy,centergy
