term,slct,second_class,match1,match2,match3,match4,match5
dulcodos,Non,,dulcoease,dulcoease,dulcolax,dulcolax,dulco-lax
duocid                             /00892601/,Non,,duocet,duocet,duocaine,duocaine,duocaine
duogynon simplex,Non,,duogesic,duogastrone,duromine,duotan pd,duotan pd
duratears                          /01103201/,Non,,duratest,duratan,duratan,duract,duratuss
duratuss hd                        /01340401/,1,,duratuss hd,duratuss hd,duratuss hd,duratuss,duratuss
duxor                              /00679301/,Non,,d,dlux,durad,duopa,duocare
ecdylin,Non,,condyline,evoclin,evoclin,evoclin,zydaclin
echinacea purpurea,Non,,econac sr,econac sr,econac,econac,emcin clear
echinacea purpurea extract,Non,,econac sr,econac sr,econac,econac,echothiophate (substance)
eclar,Non,,execlear,execlear,claro,claro,claro
ecotin,Non,,ecotrin,ecotrin,ecotrin,ecostatin,ecostatin
ecozyme,Non,,ecoza,ecoza,cotazyme,econazole,econazole
edaravone,Non,,darvon,medrone,edarbi,edarbyclor,dalalone
eicosapen                          /06850301/,Non,,e,e,e,eposin,csa
eicosapentaenoic acid ethyl ester,Non,,trans-butenedioic acid dimethyl ester,aminoacetic acid,4-aminobenzoic acid ethyl ester,4-aminobenzoic acid ethyl ester,4-aminobenzoic acid ethyl ester
el-4,Non,,ela-max,ela-max,ela-max,ela-max,ela-max
electopen iny,Non,,elcatonin,electrolyte,electrolyte solutions,electrolytes in combination with other drugs,electrolytes in combination with other drugs
electrophoresis,Non,,electrocortin,electrolytes,electrolyte solutions,elektrocortin,electrolyte (substance)
elomel,Non,,evomela,eloine,eloine,eloine,eloine
eludril                            /00914501/,1,,eludril,eludril,eluden,elpi,ella
embramine,Non,,mercamine,mercamine,emadine,embeline,bydramine
emestar plus,Non,,emersal,emersal,emetrol,emetrol,merocets plus
emetrol                            /00327401/,1,,emetrol,emetrol,emetrol,emetrol,emetrol for nausea
emoxipin,Non,,moxilin,empirin,empirin,empirin,evoxin
emtix,Non,,fematrix,demix,emtriva,metenix,emtexate
emuliquen simple,Non,,emulsoil,emulsif oint,emulsif,selenium disulphide,selenium disulfide
enalapril maleate w/ lercanidipin hcl,1,,enalapril and lercanidipine,enalapril mal,enalapril and nitrendipine,enalapril [chemical/ingredient],enalapril / hctz oral tablet
enalaprilat,1,,enalaprila,enalapril,enalaprilum,enalapril and diuretics,enalapril (substance)
enap-hl,Non,,endal,endal,endal,endal,endal
enap-hl                            /06436201/,Non,,e,e,e,endal,endal
endotelon                          /00811401/,Non,,endolor,endolor,endodan,endodan,endodan
eneas,Non,,enemas,entre-s,entex s,entre-s,entre-s
enervit                            /02938801/,Non,,e,e,e,engerix b,endari
eno fruit salts                    /00473401/,Non,,entuss,entuss,encort,encort,encort
enteral nutrition,Non,,general nutrients,entex t,entex t,enterocina,entex liquid
enterogastrone,Non,,entercote,entercote,entercote,entereg,entresto
entex                              /00567601/,Non,,entex,entex t,entex t,entex er,entex hc
enzoflam,Non,,ezol,etizolam,ezol,enzone,enzone
enzymes nos w/vitamins nos,1,,enzymes,enzymes,enzymes,enzymes,enzymes
epacaps,Non,,pacaps,pacaps,palcaps,panocaps,epsilcapramine
epacaps                            /06852001/,Non,,eaca,eacs,epaxal,eparina,eparina
epaderm,Non,,xenaderm,betaderm,xenaderm,betaderm,betaderm
epaderm                            /01355901/,Non,,epaned,e,e,epavudine,eparina
epalrestat,Non,,elaprase,cepastat,cepastat,cepastat,cepastat
ephedrine hydrochloride,1,,ephedrine erythro isomer,ephedrine erythro isomer,ephedrine erythro isomer,ephedrine erythro isomer,ephedrine erythro isomer
epinephrine hydrochloride,1,,epinephrine,epinephrine,epinephrine,epinephrine,epinephrine
epipropane                         /00483701/,Non,,epipram,epipram,epipen,epipen,epipen
epirizole,Non,,epitol,eryzole,eryzole,eryzole,eryzole
epirubicin hydrochloride,1,,epirubicin hcl,epirubicin,epirubicina,epirubicine,epirubicinum
erlotinib hydrochloride,1,,erlotinib,acriflavine hydrochloride,erlotinib (substance),ethinyl trichloride,erlosamide
ertapenem sodium,1,,ertapenem sod,ertapenem,ertapenem (substance),ertapenem [chemical/ingredient],ertaczo
erythropoietin human,1,,erythropoietin,erythropoietin (substance),erythropoietin [chemical/ingredient],erythroped a,erythroped a
esberiven                          /00021901/,Non,,e,e,e,esbriet,estring
escherichia coli lysate siccum,Non,,esclim (obsolete),estriol,estriol,esperal,ethylmercurithiosalicylic acid sodium salt
escin sodium,Non,,suramin sodium,desonidum,desonidum,seconal sodium,"selenite, sodium"
esculoside,Non,,esclim,deslanoside,rescudose,clomide,ethulose
esmolol hydrochloride,1,,esmolol,esmolol [chemical/ingredient],esmolol (substance),esmya,ethyl chloride
essentiale                         /00390501/,Non,,essential care,essian,essian,esperal,eslectin
essentiale                         /00844501/,Non,,essential care,essian,essian,esperal,eslectin
essentiale 303,Non,,essential care,essian,essian,esketamine,eslectin
essentiale 303                     /00022201/,Non,,essential care,essian,essian,esperal,eslectin
estramustine phosphate sodium,1,,estramustine phos,estramustina,estramustine,estramustine (substance),estramustinum
estrotest,Non,,estratest,estratest,estrogens,estrogens,estra-testrin
estroven,Non,,estrone,estrone,estrogens,estrogens,estrogenic
estroven                           /02150801/,Non,,estrone,estrone,estrona,estrona,estrogel
ethanolamine acetylleucinate,Non,,ethanolamine oleate,ethanol,ethanol,ethanol,ethanol topical
ethenzamide w/herbal extract nos,1,,ethenzamide,"ethenzamide, combinations with psycholeptics","ethenzamide, combinations excl. psycholeptics",ethezyme,ethezyme
ethylbenzhydramine,Non,,ethenzamide,ethyl hydroxybenzoate,ethylene imines,ethyl aminobenzoate,ethyl aminobenzoate
etoposide phosphate,1,,etoposide teva,etoposide,etoposido,etoposide (substance),etopophos
eucalyptus globulus,3,,eucalyptol,eucapur,eucalyptol [chemical/ingredient],eatg,eucreas
eucerin                            /01160201/,1,,eucerin,eucerin,e,eucardic,eulexin
euclide-m,Non,,emulsiderm,elidel,bucalcide,bucalcide,bucalcide
eufusol,Non,,euthasol,euthasol,nufol,nufol,cesol
eugynon                            /00022701/,1,,eugynon,eugynon,eugynon,eugynon,eugynon
eupatilin,Non,,epanutin,eustigmin,eustigmin,epilim,netillin
evra /gfr/,1,,evra,evra,evg,derma gran,evoltra
excedrin                           /00214201/,1,,excedrin,excedrin,excedrin,excedrin,excedrin
excedrin /usa/,1,,excedrin,excedrin,excedrin,excedrin,excedrin
excedrin p.m.                      /00607001/,1,,excedrin pm,excedrin pm,excedrin pm,excedrin,excedrin
factor iii (thromboplastin),Non,,factor i human,factor viii (substance),factor xiii transamidase,factor xiii a-subunit,factor viii
faktu,Non,,fasturtec,fatal-plus,fat emulsion,fat emulsions,flavoxatum
famucaps,Non,,amca,pacaps,diffucaps,fampyra,alu-cap
faodile,Non,,foille,flodil,foille,foille,foille
fefol z,1,,fefol,fefol,fefol,ferfolic sv,feosol
felodipine w/metoprolol,1,,felodipine / metoprolol,felodipine er,felodipine,felodipine / ramipril,felodipinum
felsol                             /00117801/,Non,,feso,felbatol,felimazole,felogen xl,feosol
femilar,Non,,femara,femiron,femiron,feminax,feminax ultra
fenoterol w/ipratropium bromide,1,,fenoterol and ipratropium bromide,fenoterol/ipratrop,fenoterolum,fenoterolum,fenoterolum
fenpiverinium bromide,1,,fenpiverinium,prifinium bromide,fenprocumon,fenoperidine,fenprocumone
ferli-6,Non,,fedril,fedril,ferfolic sv,ferfolic sv,fetrin
feroba,Non,,fero-grad,fero-grad,fero-grad,fero-grad,fero-grad
ferric ammonium citrate w/folic acid/vitamin,Non,,ferric ammonium citrate,ferric ammonium citrate [chemical/ingredient],ferric ammonium citrate (substance),ferrous amino acid chelate,ferric-citric acid
ferric chloride,2,,ferric hydroxide,ferrous chloride,ferric citrate,ferric saccharate,ferric citrate anhydrous
ferric hydroxide polymaltose,1,,ferric hydroxide,ferric hydroxide sucrose complex,ferric oxide polymaltose complexes,ferric oxide polymaltose complexes,"ferric oxide, saccharated"
ferrifol                           /00346301/,Non,,fefol,fefol,fefol,ferrogels,ferrogels
ferrimed                           /01249901/,Non,,ferro-time,ferro-time,ferrocite,ferrocite f,ferrocite f
ferritin,Non,,ferristene,ferrotsin,ferrimin 150,ferrimin 150,ferotrin
ferro-b-cal,Non,,ferrocin,ferrogels,ferrocite,ferrogels,ferrogels
ferro-folsan                       /00023601/,Non,,ferrogels,ferrogels,ferrogels,ferrogels,ferrogels
ferrocholinate,Non,,ferrocite,ferronate,ferrocite,ferrosuccinate,ferrocite f
ferropolichondrum,Non,,ferrocin,ferrotsin,ferocon,ferocon,ferocon
ferrous fumarate w/vitamins nos,1,,ferrous fumarate,ferrous fumarate,ferrous fumarate (substance),ferrous fumarate (substance),ferrous fumarate oral tablet
ferrum fol,Non,,ferr sulf,ferr fumar,ferumoxsil,ferr glucon,ferr fumar/folic acid
ferrum hausmann fort,Non,,ferrous fumarate,ferrous fumarate,ferrous carbonate,ferrous gluconate,ferrex 150 forte
fesovit                            /00508001/,Non,,feso,fesoterodine,fesoterodine fumar,fesoterodine (substance),fesoterodine [chemical/ingredient]
fexofenadine w/pseudoephedrine,1,,fexofenadine,fexofenadine hcl,fexofenadine [chemical/ingredient],fexofenadine (substance),femodene ed
finalgon,Non,,firmagon,finafta multi oral,finafta multi oral,finafta multi oral,finafta multi oral
fiorinal                           /00090401/,1,,fiorinal,fiorinal,fiorinal,fiorinal,fiortal
fiorinal-c 1/4                     /00141301/,Non,,fiorinal,fiorinal,fiorinal,fiorinal,fiortal
fk,Non,,f,frankie avalon's zero pain,frankie avalon's zero pain,"ferrate(2-), pentakis(cyano-c)nitrosyl-, (oc-6-22)-",furosemide 40 mg / k+ 8 mmol extended release oral tablet
flanil,Non,,flumazenil,flumazenilo,flaxedil,flumazenilum,fluanxol
flatoril                           /00807201/,Non,,flatulex,flodil,flamatrol,flamatrol,flamatrol
flavine adenine dinucleotide,Non,,fluprednidene and antibiotics,flavoxate [chemical/ingredient],fluocinolone acetonide and antiinfectives,fluocinolone acetonide and antiinfectives,flurandrenolone acetonide
flebobag ring lact,Non,,flebogamma,flebogamma,flebogamma dif,flebogamma dif,flecainida
fleet                              /01605601/,1,,fleet,fleet,fleet,fleet,fleet relief
fleet enema,1,,fleet,fleet,fleet,fleet,fleet mineral oil
fleet enema                        /00129701/,1,,fleet,fleet,fleet,fleet,fleet relief
flex-all                           /01405101/,Non,,flextra,flexeril,flexi-melt,flexotard mr,flexotard mr
flexicamin b12                     /01467701/,Non,,flexin-,fleroxicin,flexi-melt,fleroxacin,flextra plus
flomoxef sodium,1,,flomoxef,sulfoxone sodium,flomax,flomax relief mr,flomax mr
floradix,Non,,foradil,flodil,flomax,fluoridex,fluoridex
flotac,Non,,floam,floam,flotrin,flotros,flolan
flumethiazide,1,,flumezide,flumethasone,flumethasone,flumetasone,flumetasone
fluorescein sodium,2,,fluoresc sod,fluorescein,fluorescein stain,fluorescein acid,fluoresceine
fluorometholone acetate,1,,fluorometholone,fluorometholone,fluorometholone,fluorometholone,fluorometholone
fluorouracil sodium,3,,fluorouracilum,fluorouracilo,fluorouracil,fluoruracil,fluorouracil topical
fluorouracil w/folinic acid/irinotecan,3,,fluorouracil/salic acid,fluorouracilo,fluorouracil in topical dosage form,fluoruracil,fluorouracil [chemical/ingredient]
flupentixol dihydrochloride,1,,flupentixol hcl,flupentixolo,flupentixol,flupentixol decan,flupentixolum
flupirtine maleate,1,,flupirtine,fluspirilene,flupirtine [chemical/ingredient],flunitrazepam,fluspirilenum
fluprednidene acetate,1,,fluprednidene,fluprednidene,fluprednidene (substance),fluprednidene (substance),fluphenazine decan
flurbiprofen axetil,5,,flurbiprofene,flurbiprofene,flurbiprofene,flurbiprofene,flurbiprofen
flurbiprofen sodium,5,,flurbiprofenum,flurbiprofenum,flurbiprofenum,flurbiprofenum,flurbiprofeno
fluticasone propionate w/salmeterol,5,,fluticasone nasal,fluticasone nasal,fluticasone nasal,"fluticasone propionate, salmeterol 100-50mcg inhalation powder","fluticasone propionate, salmeterol 250-50mcg inhalation powder"
fluticasone w/salmeterol,1,,fluticasone / salmeterol,fluticasone salmeterol,fluticasone/salmeterol,fluticasone - salmeterol,fluticasone-salmeterol
folacin                            /00198401/,1,,folacin,folamin,folamin,folbalin,folbalin
folfox-4,Non,,foltx,foltx,folplex,folplex,folotyn
folgamma,Non,,flebogamma,flebogamma,folgard,folgard,folgard os
folic acid w/iron/vitamin b12,1,,folic acid/iron/multivitamins,folic acid and derivatives,folic acid [chemical/ingredient],folicare,folitab
folic acid w/minerals nos/vitamins nos,1,,folic acid/iron/multivitamins,folic acid in oral dosage form,folic acid preparation,folicare,folivane-f
folic acid w/vitamin b nos/vitamin c,1,,folic acid/iron/multivitamins,folic acid and derivatives as antianemics,folic acid (substance),folitab,folitab
folic acid w/vitamin b12 nos,1,,"folic acid, combinations",folic acid analogues,folic acid preparation,folicet,folitab
folic acid w/vitamin b12 nos/pyridoxine hcl,1,,folic acid,folic acid and derivatives as antianemics,folic acid preparation,folitab,folitab
folic acid w/vitamins nos,1,,"folic acid, combinations","folic acid analogs, antimetabolites",folic acid preparation,folicet,"folinate, calcium"
foraseq                            /01558501/,Non,,forane,foraven xl,fortabs,fortabs,forsteo
formoterol w/budesonide,1,,formoterol and budesonide,formoterol,formoterolum,formoterol / mometasone,formoterol/mometasone
fortifer,Non,,forteo,fortral,fortamet,fortesta,fortical
fortrans,Non,,fortabs,fortabs,fortabs,fortabs,fortaz
fortrans                           /01064301/,Non,,fortabs,fortabs,fortabs,fortabs,fortaz
fosfocol fides,Non,,fosfomycine,fosfocina,fosfonet,fosfomycin trometamol,fosfomycin (substance)
fosfomycin calcium,1,,fosfomycinum,fosfomycin,fosfomicina,fosfomycin [chemical/ingredient],fosfomycin (substance)
fosfructose trisodium,Non,,fosfestrol tetraso,fosfato de poliestradiol,fosfestrol,fosfocreatine,fosfesterol
fosinopril w/hydrochlorothiazide,3,,fosinopril,fosinopril sod,fosinopril and diuretics,fosinopril [chemical/ingredient],fosinorm
franzbranntwein                    /01117101/,Non,,franol,franol plus,frankie avalon's zero pain,fraxinine,fraxinine
fresubin,Non,,frusene,frusemid,frusetic,frusid,froben
frosst 282,Non,,ros,factor 8,froop,frova,froop co
fucicort,Non,,fucibet,fucibet,fucibet,nucort,u-cort
fucidin-hydrocortison,1,,fucidin,fucidin,fucidin h,fucidin acid,fucidin acid
galenic /cisplatin/fluorouracil/,Non,,galenphol,galenamet,galenomycin,galenomycin,galenomycin
galenic /flupentixol/melitracen/,Non,,galenamox,galenamox tp,galenomycin,galenomycin,galenomycin
galenic /ibuprofen/paracetamol/,Non,,galebon,galenomycin,galenomycin,galenomycin,galenomycin
galenic /ichthammol/zinc oxide/,Non,,galenamox,galenomycin,galenomycin,galenomycin,galenomycin
galenic /passiflora/valerian/,Non,,galenphol,galfer,galfer,galenomycin,galenomycin
ganoderma lucidum,Non,,ganda,ganda,ganda,ganda,ganda
garasone                           /00747101/,Non,,garasol,garasol,garasol,garasol,garasol
gastrogel,Non,,gastrodenol,gastromol,gastroflux,gastrocote,estrogel
gastrografin,Non,,gastrinex,gastrinex,gastrotsepin,gastrocrom,gastrocrom
gastrointestinal tube insertion,Non,,gastroentericanis biocanina,gastric secretion test diagnostic agents,gastro-entericanis biocanina,gastro entericanis biocanina,gastrese-la
gaviscon                           /00237601/,1,,gaviscon,gaviscon,gaviscon,gaviscon-2,gaviscon lem
gaviscon                           /01405501/,1,,gaviscon,gaviscon,gaviscon,gaviscon-2,gaviscon lem
gelafundin,Non,,glafenin,geangin,glafenine,gelofusine,preglandin
gelafundin                         /00648401/,Non,,gelatin,gelaspan,gelusil,gla,gelatin agents
gelsemium sempervirens,Non,,gelato perio rinse,gelusil,gelusil,genesis,genesis
gelusil                            /00066101/,1,,gelusil,gelusil,gelusil,gelofusine,gel-tin
gemifloxacin mesilate,1,,gemifloxacin,gemifloxacin (substance),gemifloxacin [chemical/ingredient],gemigliptin,gemcitabina
general anaesthesia,Non,,general nutrients,generlac,genexa,genebs,genexa
gentamicina                        /01594801/,2,,gentamicin,gentamicin,gentamicin,gentamicin,gentamicin
geritol                            /00543501/,Non,,gerimal,gericet,germolene,geref,geref
gidazepam,Non,,diazepam,medazepam,pinazepam,nitrodiazepam,fluridrazepam
gik solution,Non,,i.v. solutions,isoptin,grisovin,giotrif,griseofulvin
gimeracil,Non,,gerimal,pipracil,seractil,gingera,gedocarnil
ginkgo biloba leaf dry extract,Non,,ginkgo folium,gingi med,gingicare,gingi-aid,gingicaine
ginseng nos,Non,,genesis,genesis,genesis,genesis,genesis
glandosane,Non,,gladase,gladase,ganda,ganda,ganda
glimet ds,Non,,glucient sr,glimepirida,glimepiride,glimepiridum,glimepiride (substance)
glimetal,Non,,glimil,gliadel,glumetza,glimepiride and pioglitazone,alimta
glottyl,Non,,ergotyl,glucotrol,glo-sel,golytely,golytely
glucerna,Non,,glucagen,glucose,glucose,glucamet,glucagon
glucosamine w/chondroitin sulf./mangan./vit c,1,,glucosamine sulf,glucosamine hcl,glucosamine,glucamet,glucosamine [chemical/ingredient]
glucosamine w/chondroitin sulfate,1,,glucosamine sulf,glucosamine hcl,glucosamine hcl meltdown,glucosamine hcl fizz,glucosamine [chemical/ingredient]
glucosamine w/chondroitin sulfates,1,,glucosamine sulf,glucosamine hcl,glucosamine hcl meltdown,glucosamine hcl fizz,glucosamine (substance)
glucosamine w/methylsulfonylmethane,1,,glucosamine sulf,glucosamine hcl,glucosamine,glucamet,glucosaminoglycan polysulfate
glucose injection,1,,glucose,glucose,glucose,"glucose, combinations",glucose (substance)
glucose w/heparin,1,,glucose,glucose,glucose,glucophage sr,glucophage
glucurolactone,Non,,glucovance,glucovance,glucagone,glucojuice,glucagon
glutaral,Non,,glutathione oral tablet,glusartel,guaran,glutamine,glucitol
glyceol                            /00744501/,Non,,glycerol,glycerol,gly,glycérol,glycérol
glyceryl iodide,Non,,glyceryl t,glyceryl t,glyceryl trinit,glyceryl trinit,glyceryl trinitrate
glycyrrhiza glabra,1,,glycyrrhizin,glycyram,glycyrrhetin,glycopyrronium brom,glycopyrronium brom
"glycyrrhizic acid, ammonium salt",1,,glycyrrhizic acid,glycyrrhizinic acid,glycyrrhizic acid [chemical/ingredient],glycyrrhetinic acid,glycyrrhetic acid
godasal                            /01574801/,Non,,goddards,asa,asa,gonal f,genasal
goshajinkigan,Non,,gosaveg,gonak,gsh,goserelin,goserelin (substance)
granisetron hydrochloride,1,,granisetron hcl,granisetron,granisetrón,granisétron,granisetronum
granulocyte colony stimulating factor,1,,granulocyte colony stimulating factor 3 (cho cell derived),granulocyte colony-stimulating factor lenograstim,granulocyte colony-stimulating factor pegfilgrastim,granocyte-,granulex
guaiazulene,1,,guaiazulen,guaispan,guaiatussin,guaifenex g,guaiacolsulfonate
guaifenesin w/dextromethorphan,1,,guaifenesin,guaifenex dm,guaifenex dm,guaifenesin la,guaifed
gualenic acid,Non,,uralenic acid,gamolenic acid,gamoleic acid,gadobenic acid,salic acid
hadensa,Non,,haes,thaden,adenoscan,adenosina,haelan
haemocoagulase,Non,,haemaccel,haemoctin,haemonine,haematin,haemoph influenzae b
halflytely & bisacodyl bowel prep kit,Non,,halfan,half sinemet cr,half-betadur cr,halobetasol,haldol
halibut                            /01067901/,Non,,haliborange,haliborange,halcimat,halog,ibu
hall's mentho-lyptus,Non,,halls defense,halls defense,halls defense,halls breezers,halenol
haloperidol lactate,2,,haloperidol decan,haloperidol,haloperidol (substance),haloperidolum,haloperidol in oral dosage form
hamamelis virginiana,Non,,hamarin,halaven,hes,hmm,hms
hamamelis virginiana extract,Non,,hamarin,magnesium aluminosilicate hydrate,artemisinin antimalarial,hmm,hms
hamamelis virginiana liquid extract,Non,,hamarin,amlodipine valsartan drug combination,artemisinin antimalarial (product),"amlodipine, valsartan drug combination",hms
hangekoubokutou,Non,,harmogen,hatg,ng,handclens,handclens
hartman,Non,,haltran,haltran,haltran,haltran,haltran
haymine,Non,,hypamine,hypamine,hydramine,hydramine,halopyramine
hearing aid user,Non,,heartline,heartline,heartgard,heartline,heartgard
hedera helix leaf,2,,hedex,hederae helicis folium,hedex ex,hedex ibuprofen,hedex ibuprofen
helicidine,Non,,clinidine,clinidine,clinidine,clinidine,clinidine
helmiben                           /01549801/,Non,,helium,helixate,helium 4,emb,heroin
hemarate                           /01030601/,Non,,hemabate,hemax,hemax,hemax,hemax
hematinic                          /01491701/,1,,hematin,hemax,hemax,hemax,hemax
hemicraneal                        /01771901/,Non,,hemel,hemril,hemril,hemril,hemril
hemo                               /06143301/,Non,,hemox a,hemofil m,hemofil,hemorid,hemorid
hemocane                           /01349201/,1,,hemocane,hemoban,hemocyte-c,hemocyte-c,hemocyte-f
hemocontin,3,,hemocyte,hemocyte,haemoctin,hemorid ointment,hemorid ointment
hemojern,Non,,hemorid,hemoban,hemorid,hemorid,hemorid
henetix                            /02220601/,Non,,hedex,hexite,e,hexetidine,hexetidine
hepagrisevit forte-n,Non,,heparin,heparin,heparin,hepat a,hepat b
hepagrisevit forte-n               /01079901/,Non,,heparin,heparin,heparin,hepacon,hepat b
heparin 50000-ratiopharm,1,,heparin group,heparin,heparin,heparinate,"heparin, unfractionated"
heparin calcium,1,,heparin calc,heparinic acid,heparinic acid,heparin cofactor i,"heparin, combinations"
heparin sodium in dextrose,1,,heparin sod,heparin sod,heparinoid,heparin co factor i,heparin group antithrombotic drugs
heparin-fraction,5,,heparin co-factor i,heparinate,heparinate,heparinate,"heparin, unfractionated"
"heparin-fraction, calcium salt",4,,heparinic acid,heparinic acid,heparinic acid,"heparin, unfractionated","heparin, unfractionated"
hepatitis a vaccine,1,,hepatitis vaccines,hepatitis a+typhoid vaccine,hepatitis a + typhoid vaccine,hepatitis vaccine combinations,hepatitis a+typhoid vaccine (product)
herbal extract nos,Non,,herbalache,herplex,herplex,herplex,herbon rockhoppers
hexabrix,Non,,hexamarium,hexadrol,hexadrol,hexadrol,hexadrol
hexalyse                           /01270001/,Non,,hexalen,hexafed,hexafed,hexasol,hexasol
hexaquine,Non,,hexadine,hexadine,hexadine,hexadine,hexamine
hi-alarzin,1,,hidralazina,halfprin,halfprin,hydralazin,halfprin
histamine,Non,,mistamine,distamine,histamine di-hcl,histine d,histine-d
histidine,1,,histine-d,histine d,histine-d,histine d,histine-d
hjertemagnyl                       /01043701/,Non,,hmg,hexemal,ran,tmg,etn
hochuuekkitou,Non,,hc,hc,"hypochlorite, sodium",hydrocet,hydrocet
hoggar                             /00175501/,Non,,hoac,hoac,hongos,honvan,hhr
holidryl,Non,,choledyl,hold dm,ovidrel,siladryl,siladryl
homeopathic preparation,Non,,phytonadione preparation,menaphthone preparation,homatropaire,thiamine preparation,homoharringtonine
homeopatics nos,Non,,homapin,homatropine,homatropine (substance),humatin,hepat b
hopantenic acid,Non,,ethanoic acid,ethanoic acid,iopanoic acid,acetic acid,acetic acid
hormone replacement therapy,1,,hormones and related agents,hormonal contraceptives for systemic use,"hormone, parathyroid",hormonin,"hormone, adrenocorticotrophic"
hosboral bronquial,Non,,hyosol,hemoglobin crosfumaril,hidroxicloroquina,oxsoralen,oxsoralen
human mixtard                      /00806401/,1,,human mixtard,human mixtard,human mixtard,human mixtard,human mixtard
humuline long,2,,humulin,humulin,humulin,humulin,humulin
huscode,Non,,husk,hc,nucodine,nucodine,mucodyne
hydrocodone w/homatropine,1,,hydrocodone cp,hydrocodone hd,hydrocodone cp,hydrocodone hd,hydrocodone cp
hydrocortisone hydrogen succinate,hydrocortisone,,hydrocortisone eye ointment,hydrocortisone eye ointment,hydrocortisone eye ointment,hydrocortisone eye ointment,hydrocortisone eye ointment
hydromol                           /00906601/,1,,hydromol,hydromol,hydromol,hydromol,hydro q
hydrophilic,Non,,hydrisalic,hydrisalic,hydro-pc ii,hydro-pc ii,hydro-pc ii
hydroxymethylnicotinamide,Non,,hydroxymetholone,hydroxymycin,hydroxyacetanilide,hydroxymethylbenzene,hydroxyethylstarch
hylak                              /00710901/,Non,,hy5,hy5,hy5,hylenex,hylutin
hyoscine hydrobromide,1,,hyoscine hydrob,hyoscine hydrob,hyoscine,hyoscine,hyoscine
hyoscine hydrochloride,1,,hyoscine hydrob,hyoscine hydrob,hyoscine,hyoscine,hyoscine
hyoscine methobromide,1,,hyoscine hydrob,hyoscine hydrob,hyoscine,hyoscine,hyoscine
hypoethanolum,Non,,hypotear,hypophthalin,hytan,hytan,hypotears
hythiol c                          /00654801/,Non,,hc,hc,hytone,hytone,hytone
hyzaar                             /01284801/,1,,hyzaar,hyzaar,hyzine,hypam,hydro q
iberet,Non,,liberate,liberate,kineret,fibertab,ibenzmethyzin
ibu-hepa                           /01729901/,Non,,ibu,ibu,ibu,ibu,ibu
ibuprofen arginine,2,,ibuprofen lysine,ibuprofen,ibuprofen,ibuprofen,ibuprofen
ibuprofen sodium,1,,ibuprofen,ibuprofen,ibuprofen,ibuprofen,ibuprofen
ibuprofen w/paracetamol,1,,ibuprofen pmr,ibuprofen pmr,ibuprofen pmr,ibuprofen pmr,ibuprofen pmr
icaps plus,Non,,icar-c plus,icar-c plus,icar-c plus,icar-c plus,icar-c plus
icar-c plus                        /01750801/,1,,icar-c plus,icar-c plus,icar-c plus,icar-c plus,icar-c plus
icosapent,Non,,isocet,isocet,corpent,iopentol,isocaine
idotyl,Non,,dioctyl,dioctyl,idox in dimethyl sulfox,adcortyl,lidothol
idroplurivit,Non,,idroflumetiazide,idrolax,idrocilamide,idu,idu
iletin,Non,,ilotycin,ilotycin,ilotycin,rociletinib,istin
imatinib mesilate,1,,imatinib mesil,imatinib methansulfonate,imatinib,imatinibum,imatinib (substance)
imidafenacin,Non,,imidamine,imidamine,darifenacin,darifenacina,darifenacine
imipenem,1,,imipenem-cilastatin,imipenem/cilast sod,imipramine,imipramin,imipramine hcl
imipenem cilastatin,1,,imipenem - cilastatin,imipenem and cilastatin,imipenem 250 mg / cilastatin 250 mg injection,imipenem 500 mg / cilastatin 500 mg injection,imipenem 500mg/cilastatin 500mg powder for infusion solution vial
immune tolerance induction,Non,,immune sera,immune sera,immune interferon,immune sera and immunoglobulins,immune sera systemic antiinfectives
immunoglobulin,1,,immunoglobulins,"immune globulin, rh","immunoglobulins, normal human",immunoprin,"immunoglobulins, normal human, for extravascular adm."
immunology test,Non,,immunostimulants,immunostimulants,immunocyanin,immuran,immukin
imudon,1,,ibudone,ibudone,ibudone,ibudone,ibudone
indapamide w/perindopril,1,perindopril,indapamide,indapamid,indapamida,indapamidum,indapamide [chemical/ingredient]
indocyanine green,Non,,indocid r,indocid r,indocid r,indocid r,indometacine
indole-3-carbinol,5,,indolar,indolar,indolar,indolar,indole-3-carboxylic acid tropine ester
infloran                           /01142401/,Non,,inflectra,ino,ino,ino,inflexal v
infludo,Non,,influvac desu,influvac desu,infadrops,inflamase forte,inflamase forte
influenza immunisation,3,,influenza,influenza,influenza vaccines,"influenza, live attenuated","influenza, inactivated, whole virus"
infrared light,Non,,infaderm,inderal,infacol,questran light,inferax
infukoll hes,Non,,infumorph,infuvite,infuvite,infuvite,infuvite
inhal asma,Non,,inh,"inhalants, nicotine",indapamida,intal,intal
inhalation therapy,Non,,"inhalant, nicotine","inhalants, nicotine",intal inhaler,intal inhaler,intal inhaler
inhibin                            /00508201/,Non,,inh,inh 50 mg / pza 300 mg / rifampin 120 mg oral tablet,"inhibitor, alpha 1-protease",inh 75 mg / pza 400 mg / rifampin 150 mg oral tablet,inh 80 mg / pza 250 mg / rifampin 120 mg oral tablet
initard                            /00634701/,Non,,iad,intal,intal,intal,intal
inner health plus,Non,,ins lantus,ins lantus,health+plus,health+plus,heartshield plus
inner health plus dairy free,Non,,bile and liver therapy drugs,interferon alfa (human leuk. derived),thiethylperazine in oral dosage form,inderal la,inulin and other polyfructosans
