mean,Var1,Var2,CI2.5,CI97.5,sd,n_eff,rhat,trial,condition,comorbidity,repo
0.12,Cardiovascular,Asthma,-0.077,0.314,0.1,1917.26,1.001,DIA3009,Diabetes_Mellitus_Type_2,Cardiovascular : Asthma,YODA
1,Pain,Pain,1,1,0,2794.77,0.999,DIA3009,Diabetes_Mellitus_Type_2,Pain : Pain,YODA
0.42,Pain,Arthritis,0.296,0.541,0.063,1144.41,1,DIA3009,Diabetes_Mellitus_Type_2,Pain : Arthritis,YODA
0.14,Pain,Acid-related disease,-0.027,0.301,0.086,727.47,1.005,DIA3009,Diabetes_Mellitus_Type_2,Pain : Acid-related disease,YODA
0.38,Pain,Anxiety,0.228,0.528,0.077,1389.79,1.003,DIA3009,Diabetes_Mellitus_Type_2,Pain : Anxiety,YODA
0.2,Pain,Asthma,-0.042,0.428,0.121,1062.64,1.001,DIA3009,Diabetes_Mellitus_Type_2,Pain : Asthma,YODA
1,Arthritis,Arthritis,1,1,0,2925.67,0.999,DIA3009,Diabetes_Mellitus_Type_2,Arthritis : Arthritis,YODA
-0.34,Arthritis,Acid-related disease,-0.543,-0.131,0.106,393.69,1.007,DIA3009,Diabetes_Mellitus_Type_2,Arthritis : Acid-related disease,YODA
0.3,Arthritis,Anxiety,0.129,0.45,0.083,1089.5,1.004,DIA3009,Diabetes_Mellitus_Type_2,Arthritis : Anxiety,YODA
0.09,Asthma,Arthritis,-0.159,0.341,0.126,865.85,1.001,DIA3009,Diabetes_Mellitus_Type_2,Asthma : Arthritis,YODA
1,Acid-related disease,Acid-related disease,1,1,0,2095.35,0.999,DIA3009,Diabetes_Mellitus_Type_2,Acid-related disease : Acid-related disease,YODA
0.4,Anxiety,Acid-related disease,0.232,0.555,0.083,1165.15,1.001,DIA3009,Diabetes_Mellitus_Type_2,Anxiety : Acid-related disease,YODA
0.17,Asthma,Acid-related disease,-0.074,0.41,0.124,1146.54,1.001,DIA3009,Diabetes_Mellitus_Type_2,Asthma : Acid-related disease,YODA
1,Anxiety,Anxiety,1,1,0,2069.73,0.999,DIA3009,Diabetes_Mellitus_Type_2,Anxiety : Anxiety,YODA
0.31,Asthma,Anxiety,0.048,0.541,0.125,879.41,1.002,DIA3009,Diabetes_Mellitus_Type_2,Asthma : Anxiety,YODA
1,Asthma,Asthma,1,1,0,3048.08,0.999,DIA3009,Diabetes_Mellitus_Type_2,Asthma : Asthma,YODA
1,Cardiovascular,Cardiovascular,1,1,0,NA,NA,DIA3010,Diabetes_Mellitus_Type_2,Cardiovascular : Cardiovascular,YODA
0.04,Pain,Cardiovascular,-0.145,0.234,0.096,3261.41,1,DIA3010,Diabetes_Mellitus_Type_2,Pain : Cardiovascular,YODA
0.01,Cardiovascular,Arthritis,-0.198,0.208,0.104,3502.42,1,DIA3010,Diabetes_Mellitus_Type_2,Cardiovascular : Arthritis,YODA
0.4,Cardiovascular,Acid-related disease,0.199,0.582,0.099,2524.23,1,DIA3010,Diabetes_Mellitus_Type_2,Cardiovascular : Acid-related disease,YODA
0.22,Cardiovascular,Anxiety,0.01,0.413,0.105,2611.14,1,DIA3010,Diabetes_Mellitus_Type_2,Cardiovascular : Anxiety,YODA
0.13,Cardiovascular,Asthma,-0.159,0.409,0.143,2849.57,1.001,DIA3010,Diabetes_Mellitus_Type_2,Cardiovascular : Asthma,YODA
1,Pain,Pain,1,1,0,2818.09,0.999,DIA3010,Diabetes_Mellitus_Type_2,Pain : Pain,YODA
0.24,Pain,Arthritis,0.007,0.466,0.121,1959.82,1,DIA3010,Diabetes_Mellitus_Type_2,Pain : Arthritis,YODA
0.04,Pain,Acid-related disease,-0.244,0.323,0.147,1524.84,1.001,DIA3010,Diabetes_Mellitus_Type_2,Pain : Acid-related disease,YODA
0.15,Pain,Anxiety,-0.129,0.408,0.137,1502.6,1,DIA3010,Diabetes_Mellitus_Type_2,Pain : Anxiety,YODA
0.15,Pain,Asthma,-0.206,0.473,0.174,2072.36,1.001,DIA3010,Diabetes_Mellitus_Type_2,Pain : Asthma,YODA
1,Arthritis,Arthritis,1,1,0,2701.43,0.999,DIA3010,Diabetes_Mellitus_Type_2,Arthritis : Arthritis,YODA
-0.39,Arthritis,Acid-related disease,-0.752,0.011,0.205,427.5,1.008,DIA3010,Diabetes_Mellitus_Type_2,Arthritis : Acid-related disease,YODA
0.24,Arthritis,Anxiety,-0.025,0.491,0.134,1439.78,1,DIA3010,Diabetes_Mellitus_Type_2,Arthritis : Anxiety,YODA
0.09,Asthma,Arthritis,-0.287,0.434,0.185,1808.57,1.002,DIA3010,Diabetes_Mellitus_Type_2,Asthma : Arthritis,YODA
1,Acid-related disease,Acid-related disease,1,1,0,1841.65,0.999,DIA3010,Diabetes_Mellitus_Type_2,Acid-related disease : Acid-related disease,YODA
0.38,Anxiety,Acid-related disease,0.115,0.622,0.129,1898.81,1,DIA3010,Diabetes_Mellitus_Type_2,Anxiety : Acid-related disease,YODA
0.23,Asthma,Acid-related disease,-0.133,0.56,0.18,1371.45,1,DIA3010,Diabetes_Mellitus_Type_2,Asthma : Acid-related disease,YODA
1,Anxiety,Anxiety,1,1,0,2902.68,0.999,DIA3010,Diabetes_Mellitus_Type_2,Anxiety : Anxiety,YODA
0.22,Asthma,Anxiety,-0.165,0.567,0.187,1837.18,1.003,DIA3010,Diabetes_Mellitus_Type_2,Asthma : Anxiety,YODA
1,Asthma,Asthma,1,1,0,1239.76,0.999,DIA3010,Diabetes_Mellitus_Type_2,Asthma : Asthma,YODA
1,Cardiovascular,Cardiovascular,1,1,0,NA,NA,DIA3012,Diabetes_Mellitus_Type_2,Cardiovascular : Cardiovascular,YODA
-0.04,Pain,Cardiovascular,-0.254,0.19,0.114,2050.48,1,DIA3012,Diabetes_Mellitus_Type_2,Pain : Cardiovascular,YODA
0.1,Cardiovascular,Arthritis,-0.111,0.298,0.107,2174.1,1,DIA3012,Diabetes_Mellitus_Type_2,Cardiovascular : Arthritis,YODA
0.16,Cardiovascular,Acid-related disease,-0.148,0.468,0.158,1728.94,1,DIA3012,Diabetes_Mellitus_Type_2,Cardiovascular : Acid-related disease,YODA
0.04,Cardiovascular,Anxiety,-0.209,0.288,0.126,1805.31,1.001,DIA3012,Diabetes_Mellitus_Type_2,Cardiovascular : Anxiety,YODA
0.1,Cardiovascular,Asthma,-0.22,0.414,0.164,1674.17,1.004,DIA3012,Diabetes_Mellitus_Type_2,Cardiovascular : Asthma,YODA
1,Pain,Pain,1,1,0,3022.43,0.999,DIA3012,Diabetes_Mellitus_Type_2,Pain : Pain,YODA
0.47,Pain,Arthritis,0.242,0.654,0.105,1456.75,1.004,DIA3012,Diabetes_Mellitus_Type_2,Pain : Arthritis,YODA
0.01,Pain,Acid-related disease,-0.377,0.38,0.195,1329.56,1.002,DIA3012,Diabetes_Mellitus_Type_2,Pain : Acid-related disease,YODA
0.39,Pain,Anxiety,0.14,0.614,0.123,1266.34,1.004,DIA3012,Diabetes_Mellitus_Type_2,Pain : Anxiety,YODA
-0.3,Pain,Asthma,-0.751,0.184,0.249,541.02,1.005,DIA3012,Diabetes_Mellitus_Type_2,Pain : Asthma,YODA
1,Arthritis,Arthritis,1,1,0,2679.25,0.999,DIA3012,Diabetes_Mellitus_Type_2,Arthritis : Arthritis,YODA
-0.35,Arthritis,Acid-related disease,-0.78,0.118,0.238,714.4,1.006,DIA3012,Diabetes_Mellitus_Type_2,Arthritis : Acid-related disease,YODA
0.15,Arthritis,Anxiety,-0.126,0.409,0.139,1430.28,1.001,DIA3012,Diabetes_Mellitus_Type_2,Arthritis : Anxiety,YODA
0,Asthma,Arthritis,-0.38,0.37,0.194,1187.99,1,DIA3012,Diabetes_Mellitus_Type_2,Asthma : Arthritis,YODA
1,Acid-related disease,Acid-related disease,1,1,0,2389.14,0.999,DIA3012,Diabetes_Mellitus_Type_2,Acid-related disease : Acid-related disease,YODA
0.06,Anxiety,Acid-related disease,-0.336,0.464,0.206,737.01,1.001,DIA3012,Diabetes_Mellitus_Type_2,Anxiety : Acid-related disease,YODA
-0.22,Asthma,Acid-related disease,-0.77,0.389,0.303,489.07,1.006,DIA3012,Diabetes_Mellitus_Type_2,Asthma : Acid-related disease,YODA
1,Anxiety,Anxiety,1,1,0,1193.01,0.999,DIA3012,Diabetes_Mellitus_Type_2,Anxiety : Anxiety,YODA
0.12,Asthma,Anxiety,-0.319,0.517,0.215,1476.53,1.001,DIA3012,Diabetes_Mellitus_Type_2,Asthma : Anxiety,YODA
1,Asthma,Asthma,1,1,0,2724.18,0.999,DIA3012,Diabetes_Mellitus_Type_2,Asthma : Asthma,YODA
1,Cardiovascular,Cardiovascular,1,1,0,NA,NA,DIA3015,Diabetes_Mellitus_Type_2,Cardiovascular : Cardiovascular,YODA
0.05,Pain,Cardiovascular,-0.148,0.24,0.096,1968.85,0.999,DIA3015,Diabetes_Mellitus_Type_2,Pain : Cardiovascular,YODA
-0.12,Cardiovascular,Arthritis,-0.292,0.055,0.089,1922.87,1.001,DIA3015,Diabetes_Mellitus_Type_2,Cardiovascular : Arthritis,YODA
0.24,Cardiovascular,Acid-related disease,0.053,0.416,0.093,1625.84,1,DIA3015,Diabetes_Mellitus_Type_2,Cardiovascular : Acid-related disease,YODA
0.34,Cardiovascular,Anxiety,0.137,0.535,0.102,1782.19,1.001,DIA3015,Diabetes_Mellitus_Type_2,Cardiovascular : Anxiety,YODA
0.32,Cardiovascular,Asthma,0.02,0.583,0.146,1648.93,1.001,DIA3015,Diabetes_Mellitus_Type_2,Cardiovascular : Asthma,YODA
1,Pain,Pain,1,1,0,2822.29,0.999,DIA3015,Diabetes_Mellitus_Type_2,Pain : Pain,YODA
0.34,Pain,Arthritis,0.125,0.527,0.102,1064.97,1.002,DIA3015,Diabetes_Mellitus_Type_2,Pain : Arthritis,YODA
-0.04,Pain,Acid-related disease,-0.301,0.223,0.134,804.2,1.002,DIA3015,Diabetes_Mellitus_Type_2,Pain : Acid-related disease,YODA
0.3,Pain,Anxiety,0.059,0.525,0.121,1332.48,1.001,DIA3015,Diabetes_Mellitus_Type_2,Pain : Anxiety,YODA
0.33,Pain,Asthma,0.027,0.603,0.149,1758.43,1,DIA3015,Diabetes_Mellitus_Type_2,Pain : Asthma,YODA
1,Arthritis,Arthritis,1,1,0,2650.45,0.999,DIA3015,Diabetes_Mellitus_Type_2,Arthritis : Arthritis,YODA
-0.57,Arthritis,Acid-related disease,-0.871,-0.189,0.184,221,1.011,DIA3015,Diabetes_Mellitus_Type_2,Arthritis : Acid-related disease,YODA
0.26,Arthritis,Anxiety,0.018,0.492,0.121,1097.87,1,DIA3015,Diabetes_Mellitus_Type_2,Arthritis : Anxiety,YODA
0.13,Asthma,Arthritis,-0.21,0.455,0.171,881.28,1.002,DIA3015,Diabetes_Mellitus_Type_2,Asthma : Arthritis,YODA
1,Acid-related disease,Acid-related disease,1,1,0,1639.83,0.999,DIA3015,Diabetes_Mellitus_Type_2,Acid-related disease : Acid-related disease,YODA
0.13,Anxiety,Acid-related disease,-0.148,0.393,0.139,1034.06,1.001,DIA3015,Diabetes_Mellitus_Type_2,Anxiety : Acid-related disease,YODA
0.05,Asthma,Acid-related disease,-0.331,0.416,0.191,898.47,1.004,DIA3015,Diabetes_Mellitus_Type_2,Asthma : Acid-related disease,YODA
1,Anxiety,Anxiety,1,1,0,2263.99,0.999,DIA3015,Diabetes_Mellitus_Type_2,Anxiety : Anxiety,YODA
0.31,Asthma,Anxiety,-0.013,0.617,0.16,2182.12,1.002,DIA3015,Diabetes_Mellitus_Type_2,Asthma : Anxiety,YODA
1,Asthma,Asthma,1,1,0,2000.03,0.999,DIA3015,Diabetes_Mellitus_Type_2,Asthma : Asthma,YODA
1,Pain,Pain,1,1,0,NA,NA,GAL-ALZ-302,Dementia_any,Pain : Pain,YODA
0.16,Pain,Cardiovascular,0.021,0.311,0.074,2725.21,0.999,GAL-ALZ-302,Dementia_any,Pain : Cardiovascular,YODA
0.13,Pain,Anxiety,-0.028,0.292,0.081,2861.93,1,GAL-ALZ-302,Dementia_any,Pain : Anxiety,YODA
0.06,Pain,Acid-related disease,-0.11,0.215,0.084,2857.01,1.001,GAL-ALZ-302,Dementia_any,Pain : Acid-related disease,YODA
0.28,Pain,Arthritis,0.055,0.476,0.107,2499.92,1,GAL-ALZ-302,Dementia_any,Pain : Arthritis,YODA
-0.03,Pain,Osteoporosis,-0.295,0.236,0.136,2231.14,0.999,GAL-ALZ-302,Dementia_any,Pain : Osteoporosis,YODA
1,Cardiovascular,Cardiovascular,1,1,0,3106.29,0.999,GAL-ALZ-302,Dementia_any,Cardiovascular : Cardiovascular,YODA
0.07,Cardiovascular,Anxiety,-0.089,0.232,0.082,3035.61,0.999,GAL-ALZ-302,Dementia_any,Cardiovascular : Anxiety,YODA
0.18,Cardiovascular,Acid-related disease,0.004,0.333,0.084,2572.79,0.999,GAL-ALZ-302,Dementia_any,Cardiovascular : Acid-related disease,YODA
-0.1,Cardiovascular,Arthritis,-0.32,0.126,0.113,2308.06,1,GAL-ALZ-302,Dementia_any,Cardiovascular : Arthritis,YODA
-0.32,Osteoporosis,Cardiovascular,-0.557,-0.053,0.126,1902.3,0.999,GAL-ALZ-302,Dementia_any,Osteoporosis : Cardiovascular,YODA
1,Anxiety,Anxiety,1,1,0,3090.83,0.999,GAL-ALZ-302,Dementia_any,Anxiety : Anxiety,YODA
0.05,Anxiety,Acid-related disease,-0.127,0.221,0.091,2502.58,1.001,GAL-ALZ-302,Dementia_any,Anxiety : Acid-related disease,YODA
0.06,Arthritis,Anxiety,-0.169,0.284,0.121,1924.38,1.001,GAL-ALZ-302,Dementia_any,Arthritis : Anxiety,YODA
-0.22,Osteoporosis,Anxiety,-0.459,0.05,0.131,2156.33,1.001,GAL-ALZ-302,Dementia_any,Osteoporosis : Anxiety,YODA
1,Acid-related disease,Acid-related disease,1,1,0,2844.49,0.999,GAL-ALZ-302,Dementia_any,Acid-related disease : Acid-related disease,YODA
-0.62,Arthritis,Acid-related disease,-0.901,-0.276,0.167,447.29,1.001,GAL-ALZ-302,Dementia_any,Arthritis : Acid-related disease,YODA
0.07,Osteoporosis,Acid-related disease,-0.217,0.346,0.143,1861.16,1.002,GAL-ALZ-302,Dementia_any,Osteoporosis : Acid-related disease,YODA
1,Arthritis,Arthritis,1,1,0,2614.32,0.999,GAL-ALZ-302,Dementia_any,Arthritis : Arthritis,YODA
-0.32,Osteoporosis,Arthritis,-0.741,0.135,0.23,450.96,1.005,GAL-ALZ-302,Dementia_any,Osteoporosis : Arthritis,YODA
1,Osteoporosis,Osteoporosis,1,1,0,2492.88,0.999,GAL-ALZ-302,Dementia_any,Osteoporosis : Osteoporosis,YODA
1,Pain,Pain,1,1,0,NA,NA,Gal-Int-11_24m,Dementia_any,Pain : Pain,YODA
-0.08,Pain,Cardiovascular,-0.196,0.043,0.061,3032.63,1,Gal-Int-11_24m,Dementia_any,Pain : Cardiovascular,YODA
0.1,Pain,Anxiety,-0.03,0.238,0.068,3293.94,1,Gal-Int-11_24m,Dementia_any,Pain : Anxiety,YODA
0.17,Pain,Acid-related disease,0.015,0.315,0.077,2878.83,0.999,Gal-Int-11_24m,Dementia_any,Pain : Acid-related disease,YODA
0.18,Pain,Arthritis,0.049,0.303,0.064,2485.84,1.001,Gal-Int-11_24m,Dementia_any,Pain : Arthritis,YODA
-0.16,Pain,Osteoporosis,-0.344,0.035,0.096,2616.45,0.999,Gal-Int-11_24m,Dementia_any,Pain : Osteoporosis,YODA
1,Cardiovascular,Cardiovascular,1,1,0,2966.98,0.999,Gal-Int-11_24m,Dementia_any,Cardiovascular : Cardiovascular,YODA
-0.07,Cardiovascular,Anxiety,-0.188,0.05,0.06,4107.66,0.999,Gal-Int-11_24m,Dementia_any,Cardiovascular : Anxiety,YODA
0.02,Cardiovascular,Acid-related disease,-0.112,0.153,0.069,3397.42,1,Gal-Int-11_24m,Dementia_any,Cardiovascular : Acid-related disease,YODA
-0.02,Cardiovascular,Arthritis,-0.13,0.099,0.059,3401.33,1,Gal-Int-11_24m,Dementia_any,Cardiovascular : Arthritis,YODA
-0.14,Osteoporosis,Cardiovascular,-0.298,0.03,0.084,3523.77,1,Gal-Int-11_24m,Dementia_any,Osteoporosis : Cardiovascular,YODA
1,Anxiety,Anxiety,1,1,0,2927.94,0.999,Gal-Int-11_24m,Dementia_any,Anxiety : Anxiety,YODA
0.09,Anxiety,Acid-related disease,-0.059,0.234,0.076,3319.75,1,Gal-Int-11_24m,Dementia_any,Anxiety : Acid-related disease,YODA
0.03,Arthritis,Anxiety,-0.097,0.158,0.065,2859.06,1.001,Gal-Int-11_24m,Dementia_any,Arthritis : Anxiety,YODA
-0.07,Osteoporosis,Anxiety,-0.259,0.116,0.095,2860.51,1,Gal-Int-11_24m,Dementia_any,Osteoporosis : Anxiety,YODA
1,Acid-related disease,Acid-related disease,1,1,0,2905.61,0.999,Gal-Int-11_24m,Dementia_any,Acid-related disease : Acid-related disease,YODA
-0.46,Arthritis,Acid-related disease,-0.607,-0.296,0.079,1000.08,1,Gal-Int-11_24m,Dementia_any,Arthritis : Acid-related disease,YODA
0.19,Osteoporosis,Acid-related disease,-0.01,0.384,0.1,2016.29,1.003,Gal-Int-11_24m,Dementia_any,Osteoporosis : Acid-related disease,YODA
1,Arthritis,Arthritis,1,1,0,1616.49,0.999,Gal-Int-11_24m,Dementia_any,Arthritis : Arthritis,YODA
0.12,Osteoporosis,Arthritis,-0.053,0.297,0.09,2685.63,1,Gal-Int-11_24m,Dementia_any,Osteoporosis : Arthritis,YODA
1,Osteoporosis,Osteoporosis,1,1,0,2544.78,0.999,Gal-Int-11_24m,Dementia_any,Osteoporosis : Osteoporosis,YODA
1,Pain,Pain,1,1,0,NA,NA,Gal-Int-18_24m,Dementia_any,Pain : Pain,YODA
-0.07,Pain,Cardiovascular,-0.192,0.046,0.061,2464.54,0.999,Gal-Int-18_24m,Dementia_any,Pain : Cardiovascular,YODA
0.05,Pain,Anxiety,-0.074,0.175,0.064,2857.3,1.001,Gal-Int-18_24m,Dementia_any,Pain : Anxiety,YODA
0.06,Pain,Acid-related disease,-0.084,0.21,0.075,2424.78,1,Gal-Int-18_24m,Dementia_any,Pain : Acid-related disease,YODA
0.29,Pain,Arthritis,0.159,0.406,0.062,1735.27,1.002,Gal-Int-18_24m,Dementia_any,Pain : Arthritis,YODA
-0.07,Pain,Osteoporosis,-0.236,0.107,0.088,2440.97,1,Gal-Int-18_24m,Dementia_any,Pain : Osteoporosis,YODA
1,Cardiovascular,Cardiovascular,1,1,0,2979.04,0.999,Gal-Int-18_24m,Dementia_any,Cardiovascular : Cardiovascular,YODA
0.01,Cardiovascular,Anxiety,-0.097,0.116,0.053,4251.24,1,Gal-Int-18_24m,Dementia_any,Cardiovascular : Anxiety,YODA
0.01,Cardiovascular,Acid-related disease,-0.118,0.134,0.064,4192.85,1,Gal-Int-18_24m,Dementia_any,Cardiovascular : Acid-related disease,YODA
-0.18,Cardiovascular,Arthritis,-0.284,-0.067,0.055,2542.6,1,Gal-Int-18_24m,Dementia_any,Cardiovascular : Arthritis,YODA
0.05,Osteoporosis,Cardiovascular,-0.098,0.191,0.073,3880.4,1,Gal-Int-18_24m,Dementia_any,Osteoporosis : Cardiovascular,YODA
1,Anxiety,Anxiety,1,1,0,3037.9,0.999,Gal-Int-18_24m,Dementia_any,Anxiety : Anxiety,YODA
0.05,Anxiety,Acid-related disease,-0.08,0.176,0.067,2498.65,1,Gal-Int-18_24m,Dementia_any,Anxiety : Acid-related disease,YODA
-0.05,Arthritis,Anxiety,-0.164,0.068,0.059,2004.75,1,Gal-Int-18_24m,Dementia_any,Arthritis : Anxiety,YODA
-0.05,Osteoporosis,Anxiety,-0.205,0.102,0.078,3341.02,1,Gal-Int-18_24m,Dementia_any,Osteoporosis : Anxiety,YODA
1,Acid-related disease,Acid-related disease,1,1,0,2912.05,0.999,Gal-Int-18_24m,Dementia_any,Acid-related disease : Acid-related disease,YODA
-0.64,Arthritis,Acid-related disease,-0.774,-0.486,0.074,401.57,1.01,Gal-Int-18_24m,Dementia_any,Arthritis : Acid-related disease,YODA
0,Osteoporosis,Acid-related disease,-0.182,0.188,0.096,1662.15,1,Gal-Int-18_24m,Dementia_any,Osteoporosis : Acid-related disease,YODA
1,Arthritis,Arthritis,1,1,0,2035.34,0.999,Gal-Int-18_24m,Dementia_any,Arthritis : Arthritis,YODA
0.01,Osteoporosis,Arthritis,-0.153,0.165,0.081,2270.75,1.001,Gal-Int-18_24m,Dementia_any,Osteoporosis : Arthritis,YODA
1,Osteoporosis,Osteoporosis,1,1,0,2955.19,0.999,Gal-Int-18_24m,Dementia_any,Osteoporosis : Osteoporosis,YODA
