mean,Var1,Var2,ci2.5,ci97.5,sd,n_eff,rhat,trial,condition,comorbidity,repo
0.28,Pain,Asthma,0.057,0.488,0.112,912.16,1.005,BI502_550,Hypertension,Pain : Asthma,Vivli
0.22,Pain,Diabetes,0.033,0.395,0.091,698.42,1.004,BI502_550,Hypertension,Pain : Diabetes,Vivli
1,Arthritis,Arthritis,1,1,0,2724.94,0.999,BI502_550,Hypertension,Arthritis : Arthritis,Vivli
-0.21,Arthritis,Acid-related disease,-0.515,0.107,0.158,379.22,1.006,BI502_550,Hypertension,Arthritis : Acid-related disease,Vivli
0.17,Arthritis,Anxiety,-0.056,0.392,0.115,580.99,1.004,BI502_550,Hypertension,Arthritis : Anxiety,Vivli
0.45,Asthma,Arthritis,0.236,0.639,0.103,1302.82,1.002,BI502_550,Hypertension,Asthma : Arthritis,Vivli
0.04,Diabetes,Arthritis,-0.179,0.237,0.108,756.06,1.002,BI502_550,Hypertension,Diabetes : Arthritis,Vivli
1,Acid-related disease,Acid-related disease,1,1,0,1983.78,0.999,BI502_550,Hypertension,Acid-related disease : Acid-related disease,Vivli
0.48,Anxiety,Acid-related disease,0.256,0.671,0.107,468.37,1,BI502_550,Hypertension,Anxiety : Acid-related disease,Vivli
0.21,Asthma,Acid-related disease,-0.088,0.494,0.15,434.98,1.009,BI502_550,Hypertension,Asthma : Acid-related disease,Vivli
-0.05,Diabetes,Acid-related disease,-0.308,0.222,0.137,176.81,1.028,BI502_550,Hypertension,Diabetes : Acid-related disease,Vivli
1,Anxiety,Anxiety,1,1,0,858.46,0.999,BI502_550,Hypertension,Anxiety : Anxiety,Vivli
0.41,Asthma,Anxiety,0.17,0.626,0.115,1744.02,1.001,BI502_550,Hypertension,Asthma : Anxiety,Vivli
0.15,Diabetes,Anxiety,-0.08,0.362,0.114,937.47,1.004,BI502_550,Hypertension,Diabetes : Anxiety,Vivli
1,Asthma,Asthma,1,1,0,296.19,0.999,BI502_550,Hypertension,Asthma : Asthma,Vivli
0.15,Diabetes,Asthma,-0.078,0.37,0.115,819.34,1.001,BI502_550,Hypertension,Diabetes : Asthma,Vivli
1,Diabetes,Diabetes,1,1,0,1757.9,0.999,BI502_550,Hypertension,Diabetes : Diabetes,Vivli
1,Pain,Pain,1,1,0,NA,NA,LILLY_B3D_MC_GHAC,Osteoporosis,Pain : Pain,Vivli
0.09,Pain,Cardiovascular,0.007,0.175,0.043,1911.31,1,LILLY_B3D_MC_GHAC,Osteoporosis,Pain : Cardiovascular,Vivli
0.26,Pain,Arthritis,0.175,0.341,0.043,1420.09,1,LILLY_B3D_MC_GHAC,Osteoporosis,Pain : Arthritis,Vivli
-0.29,Pain,Acid-related disease,-0.37,-0.21,0.041,1315.55,1.002,LILLY_B3D_MC_GHAC,Osteoporosis,Pain : Acid-related disease,Vivli
0.34,Pain,Anxiety,0.251,0.423,0.045,2082.26,1,LILLY_B3D_MC_GHAC,Osteoporosis,Pain : Anxiety,Vivli
0.24,Pain,Asthma,0.126,0.34,0.055,1438.01,1,LILLY_B3D_MC_GHAC,Osteoporosis,Pain : Asthma,Vivli
1,Cardiovascular,Cardiovascular,1,1,0,2934.8,0.999,LILLY_B3D_MC_GHAC,Osteoporosis,Cardiovascular : Cardiovascular,Vivli
0.4,Cardiovascular,Arthritis,0.321,0.476,0.04,1609.43,1,LILLY_B3D_MC_GHAC,Osteoporosis,Cardiovascular : Arthritis,Vivli
-0.42,Cardiovascular,Acid-related disease,-0.491,-0.338,0.04,1512.2,1,LILLY_B3D_MC_GHAC,Osteoporosis,Cardiovascular : Acid-related disease,Vivli
0.15,Cardiovascular,Anxiety,0.06,0.244,0.047,2057.15,1,LILLY_B3D_MC_GHAC,Osteoporosis,Cardiovascular : Anxiety,Vivli
0.15,Cardiovascular,Asthma,0.038,0.254,0.057,1943.75,1,LILLY_B3D_MC_GHAC,Osteoporosis,Cardiovascular : Asthma,Vivli
1,Arthritis,Arthritis,1,1,0,2366.5,0.999,LILLY_B3D_MC_GHAC,Osteoporosis,Arthritis : Arthritis,Vivli
-0.99,Arthritis,Acid-related disease,-0.994,-0.983,0.003,1878.57,1,LILLY_B3D_MC_GHAC,Osteoporosis,Arthritis : Acid-related disease,Vivli
0.18,Arthritis,Anxiety,0.08,0.268,0.05,1290.55,1.002,LILLY_B3D_MC_GHAC,Osteoporosis,Arthritis : Anxiety,Vivli
0.14,Asthma,Arthritis,0.029,0.254,0.058,1697.39,1,LILLY_B3D_MC_GHAC,Osteoporosis,Asthma : Arthritis,Vivli
1,Acid-related disease,Acid-related disease,1,1,0,40.13,0.999,LILLY_B3D_MC_GHAC,Osteoporosis,Acid-related disease : Acid-related disease,Vivli
-0.13,Anxiety,Acid-related disease,-0.22,-0.033,0.049,1522.64,1.002,LILLY_B3D_MC_GHAC,Osteoporosis,Anxiety : Acid-related disease,Vivli
-0.08,Asthma,Acid-related disease,-0.194,0.032,0.058,1731.55,1,LILLY_B3D_MC_GHAC,Osteoporosis,Asthma : Acid-related disease,Vivli
1,Anxiety,Anxiety,1,1,0,1432.23,0.999,LILLY_B3D_MC_GHAC,Osteoporosis,Anxiety : Anxiety,Vivli
0.17,Asthma,Anxiety,0.048,0.298,0.063,1893.49,0.999,LILLY_B3D_MC_GHAC,Osteoporosis,Asthma : Anxiety,Vivli
1,Asthma,Asthma,1,1,0,2411.16,0.999,LILLY_B3D_MC_GHAC,Osteoporosis,Asthma : Asthma,Vivli
1,Pain,Pain,1,1,0,NA,NA,LILLY_B3D_US_GHBZ,Osteoporosis,Pain : Pain,Vivli
0.12,Pain,Cardiovascular,-0.027,0.275,0.077,2045.78,1.002,LILLY_B3D_US_GHBZ,Osteoporosis,Pain : Cardiovascular,Vivli
0.11,Pain,Arthritis,-0.039,0.25,0.076,1709.44,1,LILLY_B3D_US_GHBZ,Osteoporosis,Pain : Arthritis,Vivli
-0.1,Pain,Acid-related disease,-0.247,0.044,0.077,1582.34,1,LILLY_B3D_US_GHBZ,Osteoporosis,Pain : Acid-related disease,Vivli
0.32,Pain,Anxiety,0.156,0.467,0.08,2651.29,1,LILLY_B3D_US_GHBZ,Osteoporosis,Pain : Anxiety,Vivli
0.21,Pain,Asthma,0.032,0.378,0.089,2689.17,1,LILLY_B3D_US_GHBZ,Osteoporosis,Pain : Asthma,Vivli
1,Cardiovascular,Cardiovascular,1,1,0,3028.37,0.999,LILLY_B3D_US_GHBZ,Osteoporosis,Cardiovascular : Cardiovascular,Vivli
0.11,Cardiovascular,Arthritis,-0.028,0.255,0.072,2047.57,1,LILLY_B3D_US_GHBZ,Osteoporosis,Cardiovascular : Arthritis,Vivli
-0.12,Cardiovascular,Acid-related disease,-0.263,0.02,0.073,1746.53,1.001,LILLY_B3D_US_GHBZ,Osteoporosis,Cardiovascular : Acid-related disease,Vivli
0.02,Cardiovascular,Anxiety,-0.138,0.191,0.083,2257.69,1.002,LILLY_B3D_US_GHBZ,Osteoporosis,Cardiovascular : Anxiety,Vivli
0.1,Cardiovascular,Asthma,-0.084,0.282,0.094,2407.48,1,LILLY_B3D_US_GHBZ,Osteoporosis,Cardiovascular : Asthma,Vivli
1,Arthritis,Arthritis,1,1,0,2717.71,0.999,LILLY_B3D_US_GHBZ,Osteoporosis,Arthritis : Arthritis,Vivli
-0.99,Arthritis,Acid-related disease,-0.995,-0.97,0.007,1834.02,1,LILLY_B3D_US_GHBZ,Osteoporosis,Arthritis : Acid-related disease,Vivli
0.03,Arthritis,Anxiety,-0.136,0.196,0.084,1846.99,1.001,LILLY_B3D_US_GHBZ,Osteoporosis,Arthritis : Anxiety,Vivli
-0.22,Asthma,Arthritis,-0.388,-0.04,0.087,2012.41,1,LILLY_B3D_US_GHBZ,Osteoporosis,Asthma : Arthritis,Vivli
1,Acid-related disease,Acid-related disease,1,1,0,22.2,0.999,LILLY_B3D_US_GHBZ,Osteoporosis,Acid-related disease : Acid-related disease,Vivli
0.03,Anxiety,Acid-related disease,-0.132,0.2,0.085,1473.16,1,LILLY_B3D_US_GHBZ,Osteoporosis,Anxiety : Acid-related disease,Vivli
0.2,Asthma,Acid-related disease,0.025,0.371,0.088,1939.89,1.001,LILLY_B3D_US_GHBZ,Osteoporosis,Asthma : Acid-related disease,Vivli
1,Anxiety,Anxiety,1,1,0,2912.78,0.999,LILLY_B3D_US_GHBZ,Osteoporosis,Anxiety : Anxiety,Vivli
0.02,Asthma,Anxiety,-0.179,0.224,0.103,2031.26,1.001,LILLY_B3D_US_GHBZ,Osteoporosis,Asthma : Anxiety,Vivli
1,Asthma,Asthma,1,1,0,2619.24,0.999,LILLY_B3D_US_GHBZ,Osteoporosis,Asthma : Asthma,Vivli
1,Cardiovascular,Cardiovascular,1,1,0,NA,NA,LILLY_H6D_MC_LVGY,Pulmonary_Hypertension,Cardiovascular : Cardiovascular,Vivli
0.25,Pain,Cardiovascular,0.083,0.403,0.083,2983.81,1.001,LILLY_H6D_MC_LVGY,Pulmonary_Hypertension,Pain : Cardiovascular,Vivli
0.23,Cardiovascular,Asthma,0.062,0.391,0.086,2450.97,1,LILLY_H6D_MC_LVGY,Pulmonary_Hypertension,Cardiovascular : Asthma,Vivli
0.36,Cardiovascular,Arthritis,0.153,0.543,0.1,1982.18,1.001,LILLY_H6D_MC_LVGY,Pulmonary_Hypertension,Cardiovascular : Arthritis,Vivli
0.2,Cardiovascular,Anxiety,0.034,0.348,0.081,2785.6,1.001,LILLY_H6D_MC_LVGY,Pulmonary_Hypertension,Cardiovascular : Anxiety,Vivli
0.08,Cardiovascular,Acid-related disease,-0.089,0.239,0.082,1345.79,1.002,LILLY_H6D_MC_LVGY,Pulmonary_Hypertension,Cardiovascular : Acid-related disease,Vivli
1,Pain,Pain,1,1,0,2831.55,0.999,LILLY_H6D_MC_LVGY,Pulmonary_Hypertension,Pain : Pain,Vivli
0.31,Pain,Asthma,0.138,0.468,0.085,2690.79,1,LILLY_H6D_MC_LVGY,Pulmonary_Hypertension,Pain : Asthma,Vivli
0.26,Pain,Arthritis,0.057,0.454,0.101,2379.36,0.999,LILLY_H6D_MC_LVGY,Pulmonary_Hypertension,Pain : Arthritis,Vivli
0.41,Pain,Anxiety,0.255,0.553,0.076,2102.38,1,LILLY_H6D_MC_LVGY,Pulmonary_Hypertension,Pain : Anxiety,Vivli
0.16,Pain,Acid-related disease,0.001,0.328,0.085,1388.27,1.003,LILLY_H6D_MC_LVGY,Pulmonary_Hypertension,Pain : Acid-related disease,Vivli
1,Asthma,Asthma,1,1,0,2374.98,0.999,LILLY_H6D_MC_LVGY,Pulmonary_Hypertension,Asthma : Asthma,Vivli
0.2,Asthma,Arthritis,-0.006,0.405,0.107,2286.39,1.003,LILLY_H6D_MC_LVGY,Pulmonary_Hypertension,Asthma : Arthritis,Vivli
0.24,Asthma,Anxiety,0.078,0.401,0.084,2267.7,1.001,LILLY_H6D_MC_LVGY,Pulmonary_Hypertension,Asthma : Anxiety,Vivli
0.21,Asthma,Acid-related disease,0.031,0.366,0.085,1287.59,1.001,LILLY_H6D_MC_LVGY,Pulmonary_Hypertension,Asthma : Acid-related disease,Vivli
1,Arthritis,Arthritis,1,1,0,2128.26,0.999,LILLY_H6D_MC_LVGY,Pulmonary_Hypertension,Arthritis : Arthritis,Vivli
0.16,Arthritis,Anxiety,-0.057,0.357,0.104,957.69,1.003,LILLY_H6D_MC_LVGY,Pulmonary_Hypertension,Arthritis : Anxiety,Vivli
-0.65,Arthritis,Acid-related disease,-0.831,-0.414,0.109,234.46,1.007,LILLY_H6D_MC_LVGY,Pulmonary_Hypertension,Arthritis : Acid-related disease,Vivli
1,Anxiety,Anxiety,1,1,0,2679.4,0.999,LILLY_H6D_MC_LVGY,Pulmonary_Hypertension,Anxiety : Anxiety,Vivli
0.24,Anxiety,Acid-related disease,0.083,0.393,0.08,2228.94,0.999,LILLY_H6D_MC_LVGY,Pulmonary_Hypertension,Anxiety : Acid-related disease,Vivli
1,Acid-related disease,Acid-related disease,1,1,0,178.41,0.999,LILLY_H6D_MC_LVGY,Pulmonary_Hypertension,Acid-related disease : Acid-related disease,Vivli
1,Cardiovascular,Cardiovascular,1,1,0,NA,NA,LILLY_H6D_MC_LVHB,Benign_Prostatic_Hyperplasia,Cardiovascular : Cardiovascular,Vivli
0.09,Pain,Cardiovascular,-0.141,0.319,0.116,3792.99,1,LILLY_H6D_MC_LVHB,Benign_Prostatic_Hyperplasia,Pain : Cardiovascular,Vivli
0.1,Cardiovascular,Arthritis,-0.063,0.266,0.084,3494.72,1,LILLY_H6D_MC_LVHB,Benign_Prostatic_Hyperplasia,Cardiovascular : Arthritis,Vivli
0.16,Cardiovascular,Acid-related disease,-0,0.316,0.082,2570.38,1.001,LILLY_H6D_MC_LVHB,Benign_Prostatic_Hyperplasia,Cardiovascular : Acid-related disease,Vivli
-0.1,Cardiovascular,Asthma,-0.299,0.099,0.101,3140.51,1.001,LILLY_H6D_MC_LVHB,Benign_Prostatic_Hyperplasia,Cardiovascular : Asthma,Vivli
0.36,Cardiovascular,Anxiety,0.162,0.519,0.092,2645.76,1,LILLY_H6D_MC_LVHB,Benign_Prostatic_Hyperplasia,Cardiovascular : Anxiety,Vivli
1,Pain,Pain,1,1,0,3112.61,0.999,LILLY_H6D_MC_LVHB,Benign_Prostatic_Hyperplasia,Pain : Pain,Vivli
0.45,Pain,Arthritis,0.204,0.654,0.115,804.34,1.005,LILLY_H6D_MC_LVHB,Benign_Prostatic_Hyperplasia,Pain : Arthritis,Vivli
0.11,Pain,Acid-related disease,-0.18,0.382,0.144,696.69,1.01,LILLY_H6D_MC_LVHB,Benign_Prostatic_Hyperplasia,Pain : Acid-related disease,Vivli
0.47,Pain,Asthma,0.214,0.679,0.121,1225.61,1.002,LILLY_H6D_MC_LVHB,Benign_Prostatic_Hyperplasia,Pain : Asthma,Vivli
0.23,Pain,Anxiety,-0.069,0.508,0.151,762.96,1.002,LILLY_H6D_MC_LVHB,Benign_Prostatic_Hyperplasia,Pain : Anxiety,Vivli
1,Arthritis,Arthritis,1,1,0,2122.45,0.999,LILLY_H6D_MC_LVHB,Benign_Prostatic_Hyperplasia,Arthritis : Arthritis,Vivli
-0.5,Arthritis,Acid-related disease,-0.737,-0.232,0.131,395.29,1.006,LILLY_H6D_MC_LVHB,Benign_Prostatic_Hyperplasia,Arthritis : Acid-related disease,Vivli
0.25,Asthma,Arthritis,0.029,0.464,0.112,1563.04,1.001,LILLY_H6D_MC_LVHB,Benign_Prostatic_Hyperplasia,Asthma : Arthritis,Vivli
0.24,Arthritis,Anxiety,0.022,0.451,0.109,1574.21,1,LILLY_H6D_MC_LVHB,Benign_Prostatic_Hyperplasia,Arthritis : Anxiety,Vivli
1,Acid-related disease,Acid-related disease,1,1,0,1323.24,0.999,LILLY_H6D_MC_LVHB,Benign_Prostatic_Hyperplasia,Acid-related disease : Acid-related disease,Vivli
-0.02,Asthma,Acid-related disease,-0.271,0.233,0.13,1354.32,1.002,LILLY_H6D_MC_LVHB,Benign_Prostatic_Hyperplasia,Asthma : Acid-related disease,Vivli
0.42,Anxiety,Acid-related disease,0.229,0.602,0.096,2438.24,1,LILLY_H6D_MC_LVHB,Benign_Prostatic_Hyperplasia,Anxiety : Acid-related disease,Vivli
1,Asthma,Asthma,1,1,0,2308.01,0.999,LILLY_H6D_MC_LVHB,Benign_Prostatic_Hyperplasia,Asthma : Asthma,Vivli
-0.09,Asthma,Anxiety,-0.383,0.202,0.149,1622.57,1.004,LILLY_H6D_MC_LVHB,Benign_Prostatic_Hyperplasia,Asthma : Anxiety,Vivli
1,Anxiety,Anxiety,1,1,0,1470.61,0.999,LILLY_H6D_MC_LVHB,Benign_Prostatic_Hyperplasia,Anxiety : Anxiety,Vivli
1,Cardiovascular,Cardiovascular,1,1,0,NA,NA,LILLY_H6D_MC_LVHG,Benign_Prostatic_Hyperplasia,Cardiovascular : Cardiovascular,Vivli
0.06,Pain,Cardiovascular,-0.126,0.25,0.096,3518.6,1,LILLY_H6D_MC_LVHG,Benign_Prostatic_Hyperplasia,Pain : Cardiovascular,Vivli
0.21,Cardiovascular,Arthritis,0.053,0.363,0.079,3553.07,1,LILLY_H6D_MC_LVHG,Benign_Prostatic_Hyperplasia,Cardiovascular : Arthritis,Vivli
0.04,Cardiovascular,Acid-related disease,-0.152,0.244,0.102,2284.25,1,LILLY_H6D_MC_LVHG,Benign_Prostatic_Hyperplasia,Cardiovascular : Acid-related disease,Vivli
0.13,Cardiovascular,Asthma,-0.103,0.355,0.119,3455.45,1,LILLY_H6D_MC_LVHG,Benign_Prostatic_Hyperplasia,Cardiovascular : Asthma,Vivli
0.15,Cardiovascular,Anxiety,-0.052,0.348,0.103,2787.83,1.001,LILLY_H6D_MC_LVHG,Benign_Prostatic_Hyperplasia,Cardiovascular : Anxiety,Vivli
1,Pain,Pain,1,1,0,3062.25,0.999,LILLY_H6D_MC_LVHG,Benign_Prostatic_Hyperplasia,Pain : Pain,Vivli
0.17,Pain,Arthritis,-0.015,0.355,0.096,2391.41,1.001,LILLY_H6D_MC_LVHG,Benign_Prostatic_Hyperplasia,Pain : Arthritis,Vivli
0.19,Pain,Acid-related disease,-0.048,0.413,0.117,1878.58,1,LILLY_H6D_MC_LVHG,Benign_Prostatic_Hyperplasia,Pain : Acid-related disease,Vivli
0.05,Pain,Asthma,-0.248,0.333,0.148,2378.39,1,LILLY_H6D_MC_LVHG,Benign_Prostatic_Hyperplasia,Pain : Asthma,Vivli
0.32,Pain,Anxiety,0.102,0.528,0.108,2480.72,1,LILLY_H6D_MC_LVHG,Benign_Prostatic_Hyperplasia,Pain : Anxiety,Vivli
1,Arthritis,Arthritis,1,1,0,2929.98,0.999,LILLY_H6D_MC_LVHG,Benign_Prostatic_Hyperplasia,Arthritis : Arthritis,Vivli
-0.67,Arthritis,Acid-related disease,-0.866,-0.411,0.119,392.89,1.011,LILLY_H6D_MC_LVHG,Benign_Prostatic_Hyperplasia,Arthritis : Acid-related disease,Vivli
0.08,Asthma,Arthritis,-0.168,0.324,0.125,1968.62,1.002,LILLY_H6D_MC_LVHG,Benign_Prostatic_Hyperplasia,Asthma : Arthritis,Vivli
0.09,Arthritis,Anxiety,-0.127,0.307,0.112,2021.12,1.001,LILLY_H6D_MC_LVHG,Benign_Prostatic_Hyperplasia,Arthritis : Anxiety,Vivli
1,Acid-related disease,Acid-related disease,1,1,0,560.14,0.999,LILLY_H6D_MC_LVHG,Benign_Prostatic_Hyperplasia,Acid-related disease : Acid-related disease,Vivli
0.13,Asthma,Acid-related disease,-0.154,0.398,0.141,1647.97,1.001,LILLY_H6D_MC_LVHG,Benign_Prostatic_Hyperplasia,Asthma : Acid-related disease,Vivli
0.33,Anxiety,Acid-related disease,0.08,0.554,0.119,1520.36,1.002,LILLY_H6D_MC_LVHG,Benign_Prostatic_Hyperplasia,Anxiety : Acid-related disease,Vivli
1,Asthma,Asthma,1,1,0,2989.05,0.999,LILLY_H6D_MC_LVHG,Benign_Prostatic_Hyperplasia,Asthma : Asthma,Vivli
0.31,Asthma,Anxiety,0.048,0.559,0.132,2204.91,1.001,LILLY_H6D_MC_LVHG,Benign_Prostatic_Hyperplasia,Asthma : Anxiety,Vivli
1,Anxiety,Anxiety,1,1,0,2468.6,0.999,LILLY_H6D_MC_LVHG,Benign_Prostatic_Hyperplasia,Anxiety : Anxiety,Vivli
1,Cardiovascular,Cardiovascular,1,1,0,NA,NA,LILLY_H6D_MC_LVHJ,Benign_Prostatic_Hyperplasia,Cardiovascular : Cardiovascular,Vivli
0.21,Pain,Cardiovascular,-0.214,0.601,0.211,1657.88,1.001,LILLY_H6D_MC_LVHJ,Benign_Prostatic_Hyperplasia,Pain : Cardiovascular,Vivli
0.76,Cardiovascular,Arthritis,0.534,0.919,0.098,2615.05,1,LILLY_H6D_MC_LVHJ,Benign_Prostatic_Hyperplasia,Cardiovascular : Arthritis,Vivli
-0.11,Cardiovascular,Acid-related disease,-0.76,0.518,0.338,874.14,1.001,LILLY_H6D_MC_LVHJ,Benign_Prostatic_Hyperplasia,Cardiovascular : Acid-related disease,Vivli
-0.2,Cardiovascular,Asthma,-0.728,0.386,0.296,1237.99,1,LILLY_H6D_MC_LVHJ,Benign_Prostatic_Hyperplasia,Cardiovascular : Asthma,Vivli
0.15,Cardiovascular,Anxiety,-0.419,0.64,0.273,2922.54,0.999,LILLY_H6D_MC_LVHJ,Benign_Prostatic_Hyperplasia,Cardiovascular : Anxiety,Vivli
1,Pain,Pain,1,1,0,2966.51,0.999,LILLY_H6D_MC_LVHJ,Benign_Prostatic_Hyperplasia,Pain : Pain,Vivli
-0.01,Pain,Arthritis,-0.498,0.48,0.252,1584.54,1,LILLY_H6D_MC_LVHJ,Benign_Prostatic_Hyperplasia,Pain : Arthritis,Vivli
-0.1,Pain,Acid-related disease,-0.748,0.553,0.349,1250.27,1,LILLY_H6D_MC_LVHJ,Benign_Prostatic_Hyperplasia,Pain : Acid-related disease,Vivli
-0.12,Pain,Asthma,-0.734,0.495,0.326,914.14,1.003,LILLY_H6D_MC_LVHJ,Benign_Prostatic_Hyperplasia,Pain : Asthma,Vivli
-0.11,Pain,Anxiety,-0.732,0.564,0.35,1576.99,1.001,LILLY_H6D_MC_LVHJ,Benign_Prostatic_Hyperplasia,Pain : Anxiety,Vivli
1,Arthritis,Arthritis,1,1,0,2711.44,0.999,LILLY_H6D_MC_LVHJ,Benign_Prostatic_Hyperplasia,Arthritis : Arthritis,Vivli
-0.1,Arthritis,Acid-related disease,-0.734,0.544,0.339,1200.29,0.999,LILLY_H6D_MC_LVHJ,Benign_Prostatic_Hyperplasia,Arthritis : Acid-related disease,Vivli
-0.18,Asthma,Arthritis,-0.75,0.413,0.313,1058.28,1.002,LILLY_H6D_MC_LVHJ,Benign_Prostatic_Hyperplasia,Asthma : Arthritis,Vivli
0.42,Arthritis,Anxiety,-0.079,0.822,0.236,3620.34,0.999,LILLY_H6D_MC_LVHJ,Benign_Prostatic_Hyperplasia,Arthritis : Anxiety,Vivli
1,Acid-related disease,Acid-related disease,1,1,0,2006.59,0.999,LILLY_H6D_MC_LVHJ,Benign_Prostatic_Hyperplasia,Acid-related disease : Acid-related disease,Vivli
-0.02,Asthma,Acid-related disease,-0.706,0.64,0.362,1018.17,1.002,LILLY_H6D_MC_LVHJ,Benign_Prostatic_Hyperplasia,Asthma : Acid-related disease,Vivli
-0.04,Anxiety,Acid-related disease,-0.737,0.657,0.373,1606.39,1,LILLY_H6D_MC_LVHJ,Benign_Prostatic_Hyperplasia,Anxiety : Acid-related disease,Vivli
1,Asthma,Asthma,1,1,0,2521.44,0.999,LILLY_H6D_MC_LVHJ,Benign_Prostatic_Hyperplasia,Asthma : Asthma,Vivli
-0.06,Asthma,Anxiety,-0.736,0.609,0.356,1721.06,1.003,LILLY_H6D_MC_LVHJ,Benign_Prostatic_Hyperplasia,Asthma : Anxiety,Vivli
1,Anxiety,Anxiety,1,1,0,156,0.999,LILLY_H6D_MC_LVHJ,Benign_Prostatic_Hyperplasia,Anxiety : Anxiety,Vivli
1,Cardiovascular,Cardiovascular,1,1,0,NA,NA,LILLY_H6D_MC_LVHR,Benign_Prostatic_Hyperplasia,Cardiovascular : Cardiovascular,Vivli
0.26,Pain,Cardiovascular,0.091,0.416,0.087,2370.93,1.001,LILLY_H6D_MC_LVHR,Benign_Prostatic_Hyperplasia,Pain : Cardiovascular,Vivli
0.38,Cardiovascular,Arthritis,0.235,0.513,0.072,1971.3,0.999,LILLY_H6D_MC_LVHR,Benign_Prostatic_Hyperplasia,Cardiovascular : Arthritis,Vivli
0.04,Cardiovascular,Acid-related disease,-0.133,0.21,0.087,1996.07,1,LILLY_H6D_MC_LVHR,Benign_Prostatic_Hyperplasia,Cardiovascular : Acid-related disease,Vivli
0.12,Cardiovascular,Asthma,-0.071,0.301,0.094,2327.21,1,LILLY_H6D_MC_LVHR,Benign_Prostatic_Hyperplasia,Cardiovascular : Asthma,Vivli
0.15,Cardiovascular,Anxiety,-0.044,0.34,0.095,1957.79,1,LILLY_H6D_MC_LVHR,Benign_Prostatic_Hyperplasia,Cardiovascular : Anxiety,Vivli
1,Pain,Pain,1,1,0,2905.44,0.999,LILLY_H6D_MC_LVHR,Benign_Prostatic_Hyperplasia,Pain : Pain,Vivli
0.44,Pain,Arthritis,0.259,0.592,0.085,1786.76,1,LILLY_H6D_MC_LVHR,Benign_Prostatic_Hyperplasia,Pain : Arthritis,Vivli
0.24,Pain,Acid-related disease,0.005,0.449,0.114,1152.24,1.002,LILLY_H6D_MC_LVHR,Benign_Prostatic_Hyperplasia,Pain : Acid-related disease,Vivli
0.25,Pain,Asthma,0.015,0.475,0.117,1094.39,1,LILLY_H6D_MC_LVHR,Benign_Prostatic_Hyperplasia,Pain : Asthma,Vivli
0.35,Pain,Anxiety,0.11,0.551,0.11,1266.15,1.004,LILLY_H6D_MC_LVHR,Benign_Prostatic_Hyperplasia,Pain : Anxiety,Vivli
1,Arthritis,Arthritis,1,1,0,1810.5,0.999,LILLY_H6D_MC_LVHR,Benign_Prostatic_Hyperplasia,Arthritis : Arthritis,Vivli
-0.24,Arthritis,Acid-related disease,-0.468,-0.01,0.118,845.6,1.004,LILLY_H6D_MC_LVHR,Benign_Prostatic_Hyperplasia,Arthritis : Acid-related disease,Vivli
0.15,Asthma,Arthritis,-0.058,0.358,0.107,1330.3,1.001,LILLY_H6D_MC_LVHR,Benign_Prostatic_Hyperplasia,Asthma : Arthritis,Vivli
0.29,Arthritis,Anxiety,0.087,0.487,0.105,1976.68,1,LILLY_H6D_MC_LVHR,Benign_Prostatic_Hyperplasia,Arthritis : Anxiety,Vivli
1,Acid-related disease,Acid-related disease,1,1,0,2509.92,0.999,LILLY_H6D_MC_LVHR,Benign_Prostatic_Hyperplasia,Acid-related disease : Acid-related disease,Vivli
0.27,Asthma,Acid-related disease,0.043,0.49,0.115,1449.95,1,LILLY_H6D_MC_LVHR,Benign_Prostatic_Hyperplasia,Asthma : Acid-related disease,Vivli
0.42,Anxiety,Acid-related disease,0.2,0.61,0.107,1427.48,1.001,LILLY_H6D_MC_LVHR,Benign_Prostatic_Hyperplasia,Anxiety : Acid-related disease,Vivli
1,Asthma,Asthma,1,1,0,2553.62,0.999,LILLY_H6D_MC_LVHR,Benign_Prostatic_Hyperplasia,Asthma : Asthma,Vivli
0.34,Asthma,Anxiety,0.111,0.552,0.115,1820.55,1,LILLY_H6D_MC_LVHR,Benign_Prostatic_Hyperplasia,Asthma : Anxiety,Vivli
1,Anxiety,Anxiety,1,1,0,2753.54,0.999,LILLY_H6D_MC_LVHR,Benign_Prostatic_Hyperplasia,Anxiety : Anxiety,Vivli
1,Cardiovascular,Cardiovascular,1,1,0,NA,NA,LILLY_H6D_MC_LVHS,Benign_Prostatic_Hyperplasia,Cardiovascular : Cardiovascular,Vivli
-0.17,Pain,Cardiovascular,-0.399,0.075,0.121,1567.67,1.004,LILLY_H6D_MC_LVHS,Benign_Prostatic_Hyperplasia,Pain : Cardiovascular,Vivli
0.01,Cardiovascular,Arthritis,-0.219,0.233,0.113,964.72,1.005,LILLY_H6D_MC_LVHS,Benign_Prostatic_Hyperplasia,Cardiovascular : Arthritis,Vivli
0.09,Cardiovascular,Acid-related disease,-0.169,0.342,0.13,950.73,1.006,LILLY_H6D_MC_LVHS,Benign_Prostatic_Hyperplasia,Cardiovascular : Acid-related disease,Vivli
-0.25,Cardiovascular,Asthma,-0.468,-0.022,0.117,1442.66,1.002,LILLY_H6D_MC_LVHS,Benign_Prostatic_Hyperplasia,Cardiovascular : Asthma,Vivli
-0.02,Cardiovascular,Anxiety,-0.267,0.248,0.133,1257.05,1,LILLY_H6D_MC_LVHS,Benign_Prostatic_Hyperplasia,Cardiovascular : Anxiety,Vivli
